IndicatorCode,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_BU_CONF,NTD_BU_CONF,NTD_BU_CONF,NTD_BU_CONF,NTD_BU_CONF,NTD_BU_CONF,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP
YEAR,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2019,2020,2021,2022,2023,2024,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,,,,,,,,,,,,,,,,,,,,13.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,13.0,,,
AUS,32.0,14.0,34.0,47.0,72.0,61.0,40.0,35.0,42.0,143.0,105.0,74.0,89.0,111.0,198.0,297.0,348.0,308.0,221.0,291.0,343.0,308.0,221.0,291.0,341.0,376.0,364.0,32.0,14.0,34.0,47.0,72.0,61.0,40.0,35.0,42.0,143.0,105.0,74.0,89.0,111.0,198.0,297.0,348.0,308.0,221.0,291.0,341.0,376.0,364.0
BEN,565.0,722.0,925.0,1045.0,1195.0,1203.0,897.0,674.0,572.0,492.0,365.0,378.0,330.0,311.0,312.0,267.0,219.0,240.0,197.0,178.0,166.0,,86.0,62.0,54.0,116.0,91.0,565.0,722.0,925.0,1045.0,1195.0,1203.0,897.0,674.0,572.0,492.0,365.0,378.0,330.0,311.0,312.0,267.0,219.0,240.0,197.0,178.0,166.0,146.0,119.0
CAF,,,,,,,3.0,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,3.0,,,,,,,,,,,,,,,77.0,
CIV,750.0,768.0,1153.0,1564.0,1872.0,2191.0,2242.0,2679.0,2533.0,1659.0,1386.0,1039.0,827.0,549.0,376.0,344.0,261.0,251.0,231.0,239.0,271.0,,120.0,166.0,220.0,153.0,184.0,750.0,768.0,1153.0,1564.0,1872.0,2191.0,2242.0,2679.0,2533.0,1659.0,1386.0,1039.0,827.0,549.0,376.0,344.0,261.0,251.0,231.0,239.0,271.0,207.0,219.0
CMR,132.0,223.0,914.0,265.0,271.0,230.0,312.0,323.0,287.0,256.0,160.0,133.0,126.0,133.0,85.0,86.0,155.0,106.0,118.0,168.0,312.0,35.0,41.0,34.0,26.0,35.0,28.0,132.0,223.0,914.0,265.0,271.0,230.0,312.0,323.0,287.0,256.0,160.0,133.0,126.0,133.0,85.0,86.0,155.0,106.0,118.0,168.0,312.0,133.0,154.0
COD,17.0,119.0,487.0,51.0,74.0,340.0,260.0,172.0,136.0,209.0,284.0,214.0,192.0,234.0,175.0,120.0,99.0,41.0,334.0,259.0,558.0,0.0,111.0,54.0,84.0,74.0,40.0,17.0,119.0,487.0,51.0,74.0,340.0,260.0,172.0,136.0,209.0,284.0,214.0,192.0,234.0,175.0,120.0,99.0,41.0,334.0,259.0,558.0,332.0,432.0
COG,102.0,180.0,235.0,53.0,370.0,99.0,126.0,147.0,107.0,56.0,38.0,6.0,,,,,,,,199.0,107.0,,,0.0,3.0,15.0,21.0,102.0,180.0,235.0,53.0,370.0,99.0,126.0,147.0,107.0,56.0,38.0,6.0,,,,,,,,199.0,107.0,83.0,87.0
GAB,,,43.0,91.0,54.0,32.0,53.0,41.0,65.0,59.0,45.0,59.0,47.0,43.0,39.0,45.0,29.0,21.0,24.0,40.0,29.0,10.0,4.0,4.0,7.0,17.0,13.0,,,43.0,91.0,54.0,32.0,53.0,41.0,65.0,59.0,45.0,59.0,47.0,43.0,39.0,45.0,29.0,21.0,24.0,40.0,29.0,24.0,34.0
GHA,853.0,737.0,1157.0,1005.0,1096.0,668.0,986.0,853.0,1048.0,971.0,632.0,550.0,443.0,275.0,371.0,538.0,630.0,296.0,127.0,52.0,106.0,108.0,32.0,15.0,22.0,12.0,37.0,853.0,737.0,1157.0,1005.0,1096.0,668.0,986.0,853.0,1048.0,971.0,632.0,550.0,443.0,275.0,371.0,538.0,630.0,296.0,127.0,52.0,106.0,81.0,367.0
GIN,,157.0,146.0,208.0,279.0,,80.0,61.0,24.0,59.0,82.0,96.0,46.0,72.0,72.0,98.0,102.0,,,,,,,,,,,,157.0,146.0,208.0,279.0,,80.0,61.0,24.0,59.0,82.0,96.0,46.0,72.0,72.0,98.0,102.0,,,,,,
GNQ,,,,3.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,0.0,,,,,,,,,,,,,
JPN,,,1.0,1.0,1.0,3.0,2.0,5.0,9.0,10.0,4.0,10.0,7.0,4.0,2.0,7.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,1.0,,,1.0,1.0,1.0,3.0,2.0,5.0,9.0,10.0,4.0,10.0,7.0,4.0,2.0,7.0,3.0,3.0,5.0,4.0,3.0,3.0,1.0
LBR,,,,,,,,,,,21.0,8.0,,105.0,,219.0,323.0,,1.0,,,,1.0,,,,17.0,,,,,,,,,,,21.0,8.0,,105.0,,219.0,323.0,,1.0,,,,78.0
NGA,,,,,9.0,,,24.0,7.0,4.0,40.0,23.0,65.0,114.0,235.0,259.0,424.0,943.0,150.0,203.0,216.0,,,,,,,,,,,9.0,,,24.0,7.0,4.0,40.0,23.0,65.0,114.0,235.0,259.0,424.0,943.0,150.0,203.0,216.0,482.0,
PNG,13.0,18.0,31.0,,,26.0,24.0,8.0,5.0,8.0,,,3.0,9.0,19.0,7.0,12.0,11.0,,,,,,,,,,13.0,18.0,31.0,,,26.0,24.0,8.0,5.0,8.0,,,3.0,9.0,19.0,7.0,12.0,11.0,,,,9.0,
SLE,,,,,,,1.0,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,28.0,,,,,,,,,,,,,
SSD,568.0,360.0,4.0,24.0,38.0,8.0,3.0,5.0,4.0,,,,,,,,,,,,,,,,,,,568.0,360.0,4.0,24.0,38.0,8.0,3.0,5.0,4.0,,,,,,,,,,,,,,
TGO,96.0,38.0,800.0,317.0,40.0,141.0,95.0,52.0,67.0,52.0,51.0,37.0,67.0,81.0,83.0,62.0,93.0,51.0,51.0,19.0,10.0,34.0,40.0,15.0,4.0,6.0,5.0,96.0,38.0,800.0,317.0,40.0,141.0,95.0,52.0,67.0,52.0,51.0,37.0,67.0,81.0,83.0,62.0,93.0,51.0,51.0,19.0,10.0,8.0,7.0
UGA,117.0,10.0,7.0,72.0,5.0,31.0,24.0,3.0,,,,,,,,,,,,,,,,,,,,117.0,10.0,7.0,72.0,5.0,31.0,24.0,3.0,,,,,,,,,,,,,,,
