IndicatorCode,NTD_RAB2,NTD_RAB2,NTD_RAB2,NTD_RAB2,NTD_RAB2,NTD_RAB2,NTD_RAB2,NTD_RAB2,NTD_RAB2,NTD_RAB2,NTD_RAB2,NTD_RAB2,NTD_RAB2,NTD_RAB2,NTD_RAB2
YEAR,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
COUNTRY,,,,,,,,,,,,,,,
AFG,,,,,,,,,15.0,10.0,16.0,21.0,18.0,,
AGO,,,,,,151.0,271.0,249.0,,,,,,274.0,
ALB,,,,,0.0,0.0,0.0,0.0,,,,,,,
ARE,,,,,,,,,,,0.0,,,,
ARG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
ARM,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,0.0,,,1.0,
ATG,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
AUS,0.0,0.0,,,,,,,,,,0.0,,,
AUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AZE,,,,,,2.0,3.0,2.0,7.0,5.0,2.0,,,,
BDI,,,,,,,,,,,,,,,2.0
BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BEN,,,,,,3.0,,,,,,,,42.0,25.0
BFA,,,29.0,11.0,19.0,17.0,,,,,25.0,57.0,123.0,94.0,47.0
BGD,,,,,,83.0,66.0,80.0,57.0,57.0,26.0,40.0,45.0,47.0,56.0
BGR,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BHS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
BIH,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BLR,,2.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,
BLZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
BOL,2.0,10.0,1.0,2.0,4.0,5.0,1.0,7.0,5.0,1.0,1.0,5.0,1.0,2.0,1.0
BRA,3.0,2.0,5.0,5.0,0.0,2.0,2.0,6.0,11.0,1.0,2.0,1.0,5.0,2.0,2.0
BRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
BRN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0
BTN,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
BWA,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0
CAF,,,,,,,,,,,,,0.0,,
CAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0
CHE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CHL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
CHN,2014.0,1879.0,1361.0,1128.0,854.0,801.0,644.0,516.0,422.0,290.0,202.0,157.0,134.0,122.0,
CIV,,,,,,17.0,18.0,18.0,25.0,29.0,18.0,15.0,25.0,35.0,21.0
CMR,,,,,,,,,,,61.0,7.0,2.0,2.0,4.0
COD,,,,,,0.0,,,,,,,,,221.0
COL,5.0,0.0,2.0,0.0,0.0,,0.0,,0.0,0.0,1.0,1.0,0.0,,
CPV,,0.0,0.0,,,,,,,,,,,0.0,
CRI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,
CUB,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0
CYP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CZE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
DNK,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
DOM,2.0,0.0,5.0,3.0,0.0,4.0,0.0,4.0,4.0,1.0,0.0,0.0,,,1.0
DZA,,,,,7.0,20.0,15.0,20.0,22.0,,,,,,11.0
ECU,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
EGY,43.0,34.0,21.0,32.0,,,,,,,,,,,
ERI,,,,,,,,,,,,,6.0,,3.0
ESP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
EST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH,,,,,,15.0,24.0,17.0,,,,,99.0,83.0,195.0
FIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
FJI,,0.0,0.0,,,,,,,,,,,,
FRA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,
GAB,,,,,,,,,,3.0,,0.0,2.0,0.0,1.0
GBR,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,
GEO,1.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,,
GHA,,,,,,15.0,10.0,8.0,,,,,,,265.0
GIN,,,,,,,,,,,,,,16.0,
GNB,,,,,6.0,,,,,,,,,,
GRC,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GRD,0.0,0.0,0.0,0.0,,,,,,,,,,,
GTM,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,
GUF,,,,,,,,,,,,,,,3.0
GUY,,,,,,,,,,0.0,0.0,,,,
HND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0
HRV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HTI,1.0,13.0,2.0,3.0,4.0,5.0,9.0,9.0,4.0,2.0,1.0,2.0,13.0,2.0,3.0
HUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
IDN,,,,,,,,,,106.0,40.0,62.0,96.0,146.0,122.0
IND,,,,,,971.0,1005.0,994.0,364.0,247.0,245.0,202.0,289.0,395.0,
IRL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
IRN,4.0,8.0,6.0,5.0,4.0,7.0,1.0,12.0,6.0,6.0,5.0,16.0,11.0,20.0,
IRQ,,,11.0,8.0,12.0,6.0,,9.0,,,,,17.0,,
ISL,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ISR,0.0,0.0,0.0,0.0,,,,,,,,,,,
ITA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
JAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
JOR,0.0,0.0,,,,0.0,1.0,5.0,1.0,0.0,0.0,2.0,0.0,1.0,
JPN,0.0,0.0,0.0,0.0,,,,,,,,,,,
KAZ,4.0,10.0,5.0,6.0,3.0,6.0,6.0,7.0,0.0,3.0,1.0,,,,
KEN,,,,,,38.0,727.0,350.0,,,,,,223.0,205.0
KGZ,3.0,4.0,0.0,1.0,1.0,2.0,,2.0,3.0,1.0,,,,,
KHM,,,,,,5.0,6.0,5.0,3.0,9.0,1.0,2.0,1.0,3.0,7.0
KNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
KOR,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,
KWT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LAO,,,7.0,13.0,4.0,3.0,2.0,4.0,2.0,9.0,11.0,12.0,20.0,4.0,
LBN,,,,,,2.0,0.0,1.0,,,,,,,
LBR,,,,,,,5.0,0.0,,,,,475.0,454.0,6.0
LBY,,,,,,,,,,,,,3.0,,
LCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
LKA,49.0,41.0,38.0,28.0,19.0,28.0,24.0,23.0,25.0,26.0,31.0,25.0,27.0,16.0,20.0
LSO,,,,,,19.0,19.0,7.0,,,,,4.0,,0.0
LTU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LUX,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
MAR,14.0,5.0,6.0,24.0,20.0,19.0,17.0,15.0,18.0,22.0,9.0,20.0,17.0,,
MDA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,
MDG,,,,,8.0,9.0,16.0,13.0,17.0,10.0,8.0,2.0,,,15.0
MDV,0.0,0.0,,,,,,,,,,,,,
MEX,8.0,6.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,4.0,,4.0
MKD,0.0,,,,,0.0,0.0,,,,,,,,
MLI,,,,,,9.0,8.0,7.0,,,,,,41.0,17.0
MLT,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MMR,215.0,242.0,179.0,176.0,122.0,103.0,62.0,6.0,71.0,69.0,53.0,20.0,55.0,53.0,82.0
MNG,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,
MOZ,,,,,,29.0,29.0,89.0,,,,,,35.0,35.0
MRT,,,,,,,,,,,,,11.0,4.0,
MUS,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
MWI,,,,,,9.0,16.0,9.0,,,,,,,
MYS,,,,,,0.0,0.0,6.0,10.0,6.0,9.0,10.0,16.0,21.0,8.0
NAM,,,,,,,,,,,,,,,6.0
NER,,,,,,4.0,2.0,7.0,,,,,,,
NGA,,,,,,0.0,7.0,4.0,,,,1.0,67.0,61.0,51.0
NIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
NLD,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
NPL,,,,,,13.0,6.0,8.0,32.0,18.0,15.0,18.0,13.0,10.0,14.0
NZL,0.0,0.0,0.0,,,,,,,,,,,,
OMN,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
PAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
PER,14.0,20.0,12.0,6.0,0.0,4.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
PHL,299.0,229.0,213.0,205.0,236.0,217.0,209.0,261.0,321.0,307.0,235.0,282.0,284.0,400.0,425.0
POL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
PRT,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
PRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
QAT,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,0.0,
ROU,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
RUS,15.0,9.0,4.0,7.0,2.0,6.0,5.0,2.0,2.0,2.0,7.0,,,,
RWA,,,,,,,,,,,,,,,2.0
SAU,,,0.0,,,,2.0,1.0,,,,,0.0,0.0,
SDN,13.0,5.0,2.0,2.0,1.0,0.0,1.0,1.0,,,,,,0.0,
SEN,15.0,6.0,6.0,5.0,2.0,3.0,0.0,0.0,,,,,3.0,5.0,3.0
SGP,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,
SLE,,,,,,8.0,,,8.0,10.0,6.0,2.0,,,2.0
SLV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
SOM,,,,,,3.0,2.0,1.0,,,,,,,
SRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
SSD,,,,,,,,,,,,,0.0,53.0,249.0
SUR,0.0,0.0,0.0,,,,,,,,,,,,
SVK,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
SVN,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
SWE,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
SWZ,,,,,,0.0,0.0,0.0,,,,,,,0.0
SYC,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0
SYR,1.0,2.0,5.0,7.0,0.0,3.0,4.0,7.0,5.0,2.0,2.0,3.0,1.0,,
TCD,,,,,,0.0,0.0,0.0,,,,,,,
TGO,,,,,,,,,,,,,,,21.0
THA,15.0,8.0,5.0,5.0,6.0,5.0,14.0,11.0,18.0,3.0,3.0,4.0,3.0,6.0,4.0
TJK,,,,11.0,7.0,11.0,12.0,14.0,11.0,8.0,,,,,
TKM,,,,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
TLS,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0
TTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
TUN,,,3.0,6.0,3.0,6.0,4.0,1.0,,2.0,,,,,
TUR,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
TZA,92.0,43.0,65.0,31.0,53.0,4.0,26.0,10.0,,,,,,,
UGA,45.0,37.0,30.0,28.0,23.0,,,,,,,,,,68.0
UKR,3.0,4.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,
URY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
USA,2.0,7.0,1.0,2.0,1.0,3.0,0.0,1.0,,,,5.0,,,2.0
UZB,,,,,,1.0,3.0,3.0,6.0,5.0,,,,,
VCT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
VEN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1.0,2.0,1.0
VNM,87.0,110.0,98.0,105.0,67.0,78.0,91.0,74.0,103.0,81.0,78.0,66.0,70.0,82.0,0.0
YEM,,,,48.0,,,,,52.0,59.0,17.0,43.0,69.0,,
ZAF,12.0,8.0,14.0,12.0,6.0,12.0,,6.0,16.0,10.0,8.0,19.0,17.0,6.0,9.0
ZMB,,,,,,,,,,,,,,,44.0
ZWE,2.0,2.0,11.0,7.0,16.0,2.0,23.0,8.0,,,,,,,8.0
