IndicatorCode,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,ORALHEALTH_DENOMINATOR_CHEPPP,ORALHEALTH_DENOMINATOR_TTLPOP,ORALHEALTH_DENTALHEALTHCARE_EXP_PERCAP,ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,ORALHEALTH_HWF_DENTALPROSTHETICTECH_10K,ORALHEALTH_UHC_GOVSCHEME,PRISON_B9_1_DENTISTS_RATIO
FIN,8.39,8.6,8.74,8.85,9.06,9.32,9.44,9.58,9.67,9.7,9.71,9.66,9.6,9.53,7.93,7.79,7.54,7.44,7.56,7.4,7.33,7.31,7.36,7.2,7.29,7.31,7.27,7.18,7.17,9.78,9.75,9.68,,,,,,,,,,,,,,,,,,,,,,,2686.0,2845.0,3029.0,3149.0,3301.0,3486.0,3639.0,3765.0,3912.0,4053.0,4184.0,4311.0,4405.0,4482.0,4610.0,4759.0,4838.0,4922.0,4984.0,5011.0,5025.0,5010.0,4994.0,4966.0,4144.0,4085.0,3972.0,3937.0,4015.0,3952.0,3933.0,3939.0,3987.0,3915.0,3980.0,4003.0,3994.0,3953.0,3954.0,5400.0,5392.0,5361.0,,,,,,,,,,,,,,,,,,,,,,1151.0,,,,,,,,,,,,,,,,7500.0,,,,,,,,,,,,,,,,,,,,,,,,865.0,,,,,,,,,,,,,,,,700.0,,,,,,4710.0,5529.468,107.59267,593.69634,1.26533,,1.93
FJI,,,,,,,,,,0.39,,,,0.69,,,,,,1.89,,,,,,0.7,,,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,60.0,,,,,,171.0,,,,,,64.0,,,,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.0,,,,11.0,,,,,545.3,920.422,7.70041,6.89186,0.1236,,
FRA,7.05,7.13,7.17,7.19,7.24,7.18,7.14,7.09,7.18,7.22,7.16,7.12,7.1,7.1,7.08,7.07,7.03,6.98,6.9,6.83,6.8,6.49,6.5,6.53,6.5,6.53,6.58,6.57,6.55,6.64,6.66,6.79,6.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,37647.0,38387.0,39396.0,40318.0,40185.0,40841.0,41236.0,41579.0,41966.0,41803.0,41654.0,41537.0,42188.0,42675.0,42572.0,42654.0,42850.0,43100.0,43291.0,43570.0,43629.0,43599.0,43311.0,43120.0,43146.0,41386.0,41641.0,42067.0,42065.0,42386.0,42801.0,42865.0,42941.0,43628.0,43877.0,44883.0,45989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5493.0,64480.053,195.39045,12665.99059,,,1.12
FSM,,,,,,,,,,,1.25,,,0.89,,1.17,,,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,10.0,,13.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,364.2,112.106,5.30098,0.5407,,65.0,
GAB,,,,,,,,,,,,,,,0.1,,,,0.19,,,,,,,,,0.17,0.18,0.15,0.15,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,30.0,,,,,,,,,37.0,40.0,34.0,34.0,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,32.0,32.0,,67.0,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,33.0,46.0,,9.0,9.0,,19.0,,432.2,2292.573,3.6869,7.66876,0.01841,100.0,
GBR,,,,,,,,4.48,,,,,,,,,,4.79,4.94,5.02,5.13,5.23,5.2,5.23,5.3,5.3,5.29,5.24,5.24,5.3,5.4,5.12,4.88,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26166.0,,,,,,,,,,29451.0,30617.0,31394.0,32298.0,33218.0,33268.0,33676.0,34348.0,34621.0,34867.0,34760.0,35000.0,35568.0,36394.0,34673.0,33286.0,33838.0,,,,,,,,,,,,,,,31522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32563.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5087.0,67059.474,143.22273,9576.87441,,100.0,
GEO,,,,,,,3.59,3.64,3.5,3.87,3.48,3.17,3.4,3.45,3.14,3.39,3.11,3.02,2.96,2.77,3.23,4.51,5.23,5.29,5.67,6.51,6.77,6.51,8.04,8.11,5.35,6.5,7.62,7.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1726.0,1707.0,1603.0,1725.0,1504.0,1335.0,1404.0,1408.0,1272.0,1366.0,1242.0,1199.0,1167.0,1084.0,1257.0,1743.0,2009.0,2016.0,2152.0,2469.0,2566.0,2470.0,3050.0,3079.0,2031.0,2464.0,2891.0,2945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.0,121.0,,,,,970.2,3765.912,3.1347,11.63915,0.30275,,0.98
GHA,,,,,,,,,,,,,,,0.05,,,0.01,0.02,,,,,,,,0.14,,0.23,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,,,31.0,45.0,,,,,,,,400.0,,713.0,,,,244.0,,,,,,,,,,,,,,,,,,,,,,,154.0,,,,88.0,,,,,,,,516.0,46.0,,,,396.0,488.0,504.0,,,,,,,,,,,,,,,,,,,,,135.0,,,13.0,15.0,,,,,,,,30.0,167.0,,,,,1550.0,137.0,193.2,32180.401,0.02802,0.84526,0.0549,53.0,
GIN,,,,,,,,,,,0.02,,,,0.02,0.02,,,,,,,,,,,0.04,,0.06,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,22.0,17.0,,,,,,,,,,,50.0,,73.0,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,20.0,,,,38.0,16.0,,,,,,,,,,,,,,,,,,,119.6,13205.153,0.23461,3.19697,,,
GLOBAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB,,,,,,,,,,,,,,0.04,,0.06,0.06,0.06,0.07,,,,,,,0.08,,,0.02,0.05,0.03,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,10.0,10.0,11.0,12.0,,,,,,,17.0,,,4.0,12.0,8.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,24.0,,,,,,,,,,10.0,6.0,17.0,16.0,16.0,7.0,,,,,,,,,,,,,,,,,,,,36.0,,,,11.0,11.0,,,,,,,3.0,,,7.0,95.0,4.0,6.0,6.0,5.0,88.71,2573.995,0.01836,0.04313,0.01278,10.0,
GNB,,,,,,,,,,,,,,,0.02,,,,0.01,0.05,,,,,,,0.04,,,,0.03,0.01,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,2.0,7.0,,,,,,,7.0,,,,5.0,2.0,20.0,21.0,,,,,,,,,,,,,,,,,,,,,,13.0,,,,1.0,,,,,,,,8.0,,8.0,,,21.0,2.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,3.0,6.0,,,,,,,4.0,,,,8.0,3.0,2.0,2.0,186.4,2015.828,0.25385,0.45084,0.02082,,
GNQ,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,5.0,,607.4,1596.049,4.18934,5.6975,,,
GRC,9.79,9.95,10.04,10.31,10.38,10.14,10.8,10.96,11.19,11.33,11.47,11.43,12.04,11.98,12.16,12.24,12.87,13.06,13.26,13.3,13.18,13.07,12.86,12.68,12.62,12.29,12.27,12.33,12.39,12.56,12.78,13.01,13.35,,,,,,,,,,,,,,,,,,,,,,7646.0,7727.0,8007.0,8222.0,8379.0,8737.0,9080.0,9114.0,9206.0,9628.0,10038.0,10258.0,10403.0,10731.0,10865.0,10663.0,11419.0,11638.0,11947.0,12152.0,12362.0,12394.0,13107.0,13079.0,13316.0,13438.0,14180.0,14429.0,14689.0,14774.0,14661.0,14518.0,14208.0,13911.0,13746.0,13301.0,13225.0,13261.0,13300.0,13464.0,13668.0,13759.0,13904.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2419.0,10512.232,77.14318,826.51203,,,0.44
GRD,,,,,,,,0.67,,0.84,0.84,0.83,0.83,0.83,,,1.73,,,,,,,,,,,1.47,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,9.0,9.0,9.0,9.0,9.0,,,19.0,,,,,,,,,,,17.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,879.5,123.663,32.03835,3.49218,,,
GTM,,,,,,,,,,1.79,,,,,,,,1.74,,,,,,,,,,,,,2.59,,,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2046.0,,,,,,,,2376.0,,,,,,,,,,,,,4493.0,,,4864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.1,17362.718,9.21889,162.37232,,,
GUY,,,,,,,,,,,0.39,,,,,,,,,0.39,,,,,,,,,1.18,0.67,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,29.0,,,,,,,,,93.0,54.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,174.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,673.6,797.202,14.37899,11.2875,,82.0,
HND,,,,,,,,,,,1.74,,,,,,,,0.3,,,,,,,,,0.32,,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141.0,,,,,,,,236.0,,,,,,,,,308.0,,,,,,7558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.0,,,,,,,,,,,,,,,,,,,,,,,,435.7,10121.763,5.41988,51.99831,,80.0,
HRV,4.68,4.3,4.25,5.66,5.54,5.78,6.07,6.3,6.66,6.65,6.88,7.02,7.03,7.16,7.41,7.46,7.48,7.57,7.63,7.64,7.34,7.39,7.57,7.6,7.89,8.0,8.08,8.42,8.62,8.88,8.92,9.25,9.46,,,,,,,,,,,,,,,,,,,,,,1715.0,1785.0,1875.0,1938.0,2014.0,2087.0,2185.0,2229.0,2283.0,2286.0,2262.0,2075.0,2032.0,2678.0,2589.0,2672.0,2769.0,2837.0,2959.0,2918.0,2974.0,3021.0,3027.0,3085.0,3193.0,3218.0,3230.0,3265.0,3290.0,3293.0,3158.0,3162.0,3223.0,3225.0,3327.0,3347.0,3341.0,3433.0,3470.0,3539.0,3526.0,3629.0,3697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958.0,,,,,2168.0,4096.869,36.80249,149.41812,4.74058,100.0,
HTI,,,,,,,,,0.12,,,,,,,,,,,,,0.05,,0.1,,0.06,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,,,,,,,,,,,,,50.0,,104.0,,62.0,,,237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,143.5,11306.801,2.33622,26.27779,0.00178,,
HUN,2.27,2.34,3.25,3.36,3.51,3.5,3.57,3.72,4.39,4.51,3.24,3.58,4.78,5.29,5.11,4.48,4.97,4.0,5.06,4.92,5.27,5.26,5.66,6.03,6.29,6.03,6.2,6.73,7.03,7.31,6.75,7.1,7.43,,,,,,,,,,,,,,,,,,,,,,,,,,,2808.0,2843.0,2178.0,2604.0,2302.0,2361.0,2430.0,3368.0,3483.0,3632.0,3610.0,3678.0,3828.0,4505.0,4611.0,3305.0,3640.0,4843.0,5352.0,5150.0,4508.0,4997.0,4013.0,5064.0,4920.0,5257.0,5236.0,5609.0,5963.0,6203.0,5936.0,6083.0,6589.0,6870.0,7145.0,6578.0,6894.0,7198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0,,,,,,2156.0,9750.573,37.29101,363.8857,0.11461,,2.03
IDN,,,,,,,,,,,,,,0.23,,,,,,0.22,0.35,,0.42,,,0.49,,0.54,0.57,0.58,1.18,1.23,1.46,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5267.0,,,,,,5442.0,8731.0,,10566.0,,,12740.0,,14455.0,15364.0,15737.0,32418.0,33929.0,40583.0,28942.0,,,,,,,,,,,,,,,,,,,,,1629.0,,,,,,,,,13581.0,,,,,,19105.0,21136.0,22883.0,23388.0,24055.0,17280.0,,,,,,,,,3778.0,,,,,,,,,,,197.0,,,,,,7231.0,9723.0,,,,,,,,1034.0,1046.0,1037.0,1033.0,984.0,1215.0,358.3,271857.97,0.99865,266.63728,0.01061,84.0,
IND,,0.15,,,,,,,,,0.37,0.44,0.43,0.42,0.49,0.48,0.67,0.61,0.77,0.85,,0.93,0.95,,1.18,,1.47,1.85,1.59,,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13016.0,,,,,,,,,39105.0,47204.0,47165.0,47318.0,55058.0,55344.0,78096.0,73057.0,93332.0,104603.0,,117825.0,120897.0,,154436.0,,197734.0,251207.0,217901.0,,222816.0,,,,,,,,,,,,6366.0,,,,,,,,,,,,,12518.0,,,,,,,,,,,,,3097.0,,,3532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2388.0,,,3176.0,,,,211.0,1396387.127,0.04771,64.49879,0.02261,30.0,
IRL,3.74,3.81,3.93,4.01,4.16,4.34,4.42,4.55,4.62,4.78,4.99,5.19,5.35,5.44,5.5,5.6,5.66,5.77,6.05,5.96,5.97,5.82,5.79,5.73,5.92,6.01,6.2,6.47,6.6,6.78,6.61,4.63,4.56,4.75,,,,,,,,,,,,,,,,,,,,,1033.0,1048.0,1069.0,1109.0,1131.0,1168.0,1205.0,1201.0,1212.0,1242.0,1313.0,1348.0,1400.0,1433.0,1494.0,1568.0,1609.0,1671.0,1713.0,1794.0,1899.0,2006.0,2102.0,2171.0,2237.0,2327.0,2414.0,2537.0,2714.0,2702.0,2721.0,2667.0,2661.0,2649.0,2758.0,2828.0,2949.0,3113.0,3217.0,3346.0,3292.0,2329.0,2330.0,2466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6010.0,4946.119,103.99716,514.78594,,100.0,0.55
IRN,,,,,,,,,,,,,,,1.52,1.84,1.3,,,,,,,,3.41,3.17,,3.1,4.25,,,,,5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10648.0,13210.0,9522.0,,,,,,,,27783.0,26188.0,,26361.0,36600.0,,,,,47640.0,,,,,,,,,,,,,,,,,,,,,,,,4743.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2487.0,,,,,,,,,,,,,,,,,,,,868.2,87290.193,42.11735,3507.06964,,95.0,
IRQ,,,,,,,,,,,,,,,,,,,,,1.55,,,,2.16,1.94,2.01,2.42,,3.47,3.33,4.36,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4799.0,,,,7891.0,7277.0,7746.0,9524.0,,14309.0,14003.0,18796.0,22134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.0,,,,,,,483.3,42556.984,0.00033,0.0131,0.32002,,
ISL,9.03,9.35,9.84,10.01,10.26,10.09,10.3,10.47,9.89,10.02,10.06,10.0,10.01,9.95,9.82,9.74,9.41,9.43,9.48,9.23,9.4,8.87,8.42,8.4,8.37,8.4,8.28,8.12,8.19,7.9,7.91,7.89,7.91,7.84,,,,,,,,,,,,,,,,,,,,,168.0,176.0,180.0,191.0,193.0,197.0,205.0,213.0,215.0,219.0,230.0,241.0,257.0,264.0,273.0,270.0,277.0,284.0,271.0,278.0,283.0,285.0,288.0,288.0,287.0,289.0,286.0,294.0,301.0,294.0,299.0,283.0,270.0,272.0,274.0,278.0,278.0,279.0,289.0,285.0,290.0,294.0,301.0,304.0,,,,,,,,,,,,,,,,,,,,,,,25.0,19.0,19.0,18.0,14.0,,,,,,,,,,212.0,,,331.0,319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,,,108.0,111.0,5636.0,366.669,407.53504,145.49001,3.06751,100.0,
ISR,10.27,11.14,11.0,10.9,10.88,10.82,8.85,9.45,10.02,9.53,8.18,8.2,8.87,9.48,8.97,8.37,8.13,8.19,8.28,8.47,8.68,7.85,7.06,6.97,7.98,8.24,7.96,7.18,7.99,8.66,9.09,11.56,9.01,8.97,,,,,,,,,,,,,,,,,,,,,2229.0,2388.0,2556.0,2794.0,3023.0,3197.0,3378.0,3552.0,3825.0,4114.0,4666.0,5324.0,5454.0,5545.0,5677.0,5791.0,4867.0,5333.0,5800.0,5667.0,5000.0,5133.0,5667.0,6167.0,5933.0,5633.0,5567.0,5700.0,5867.0,6100.0,6367.0,5867.0,5367.0,5400.0,6300.0,6633.0,6533.0,6000.0,6800.0,7500.0,8000.0,10339.0,8200.0,8300.0,,,,,,,,,,,,,483.0,,,,,,,,,,,,,,,,,,6800.0,7600.0,7900.0,8200.0,7300.0,7400.0,7400.0,8500.0,8700.0,,,,,,,,,,,,,,2750.0,,,,,,,,,,,,,,,3559.0,3571.0,3550.0,3506.0,3473.0,3454.0,3429.0,,,,,3334.0,,,3326.0,8757.489,201.81499,1827.23291,,,
ITA,2.36,3.44,4.0,4.2,4.18,4.01,4.72,4.9,5.42,6.12,5.59,5.41,5.4,5.37,5.67,5.98,6.3,5.68,4.8,5.19,5.66,5.83,6.53,7.76,7.85,7.86,8.03,8.21,8.35,8.64,8.63,8.32,8.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,2636.0,4010.0,5622.0,8628.0,13430.0,19651.0,22868.0,24000.0,24000.0,23000.0,27000.0,28000.0,31000.0,35000.0,32000.0,31000.0,31000.0,31000.0,33000.0,35000.0,37000.0,33568.0,28566.0,31085.0,34023.0,35183.0,39511.0,47038.0,47610.0,47604.0,48559.0,49552.0,50305.0,51954.0,51678.0,49721.0,52559.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3998.0,59500.579,316.81519,19122.96491,,99.0,2.01
JAM,,,,,,,,,,,,,,0.8,,,,,0.17,,,,0.13,0.13,0.13,0.13,0.16,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.0,,,,,46.0,,,,35.0,35.0,36.0,37.0,45.0,262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.0,,,,113.0,124.0,124.0,121.0,140.0,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,2.0,2.0,2.0,2.0,1.0,,,,,,,,597.9,2820.436,15.62345,44.91742,0.00339,95.0,
JOR,,,,,,,,,4.84,5.14,5.36,5.22,4.24,6.05,6.75,6.96,7.15,7.16,7.29,6.14,7.8,,,8.51,7.83,7.13,6.71,6.94,6.79,7.42,,,7.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2501.0,2710.0,2885.0,2869.0,2382.0,3472.0,3973.0,4194.0,4597.0,4891.0,5094.0,4383.0,5691.0,,,6804.0,6881.0,6806.0,6713.0,7107.0,7107.0,7917.0,,,8938.0,,,,,,,,,,,,,,,,,,,,,,,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2597.0,,,,,,,,,,,,,,,,,,,,797.5,10928.721,7.41709,74.69007,,,
JPN,5.84,,6.08,,6.31,,6.62,,6.77,,6.96,,7.1,,7.25,,7.39,,7.55,,7.7,,7.79,,7.92,,7.99,,8.02,,8.25,,8.16,,,,,,,,,,,,,,,,,,,,,,51597.0,54954.0,56327.0,,61283.0,,64904.0,,68692.0,,72087.0,,75629.0,,79092.0,,83404.0,,85671.0,,88416.0,,90510.0,,92704.0,,94608.0,,96690.0,,98739.0,,99686.0,,100994.0,,101584.0,,101811.0,,104152.0,,101956.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34640.0,,,,,,,,4587.0,125244.761,227.70114,28733.60743,2.73056,,
KAZ,4.04,4.0,4.11,4.24,3.98,4.01,3.68,2.63,2.42,3.84,2.55,2.78,3.2,3.31,3.42,3.27,3.49,3.52,3.43,3.42,3.95,3.83,4.0,3.65,3.61,2.61,3.01,2.5,2.49,2.34,2.34,2.3,2.21,2.13,,,,,,,,,,,,,,,,,,,,,4623.0,4741.0,4867.0,5154.0,5488.0,5793.0,6135.0,6497.0,6315.0,6705.0,6924.0,6910.0,7130.0,7326.0,6786.0,6716.0,6034.0,4215.0,3791.0,5928.0,3953.0,4337.0,5006.0,5215.0,5421.0,5224.0,5612.0,5717.0,5636.0,5691.0,6657.0,6532.0,6920.0,6406.0,6430.0,4717.0,5528.0,4666.0,4717.0,4500.0,4566.0,4532.0,4427.0,4338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765.5,18979.243,3.27193,60.97902,,,
