IndicatorCode,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,ORALHEALTH_DENOMINATOR_CHEPPP,ORALHEALTH_DENOMINATOR_TTLPOP,ORALHEALTH_DENTALHEALTHCARE_EXP_PERCAP,ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,ORALHEALTH_HWF_DENTALPROSTHETICTECH_10K,ORALHEALTH_UHC_GOVSCHEME,PRISON_B9_1_DENTISTS_RATIO
KEN,,,,,,,,,,,,,0.23,,,,,,0.25,0.25,0.22,0.22,0.22,0.23,0.24,,,,0.17,0.25,0.05,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.0,,,,,,974.0,1004.0,898.0,930.0,985.0,1045.0,1090.0,,,,841.0,1300.0,246.0,,1344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.0,,246.0,987.0,382.0,,,,,,,,,,,,,,,,,,,594.0,,,,,,,,,,,,,,,,,468.0,,261.0,987.0,,207.6,51985.78,0.00064,0.0316,0.08902,17.0,
KGZ,2.79,2.84,2.83,2.64,2.58,2.3,2.36,2.61,2.61,2.53,2.23,2.12,2.06,1.92,2.04,1.99,1.93,1.92,1.87,1.92,1.86,1.71,1.71,1.69,1.64,1.7,1.76,1.81,1.84,1.76,1.74,1.71,1.54,1.56,,,,,,,,,,,,,,,,,,,,,554.0,,646.0,708.0,748.0,867.0,967.0,1067.0,1149.0,1228.0,1246.0,1285.0,1301.0,1223.0,1200.0,1082.0,1128.0,1263.0,1279.0,1257.0,1120.0,1077.0,1053.0,992.0,1060.0,1044.0,1017.0,1021.0,1001.0,1037.0,1022.0,955.0,973.0,981.0,965.0,1018.0,1074.0,1128.0,1166.0,1143.0,1160.0,1164.0,1071.0,1105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.0,,,,,,260.4,6424.874,0.60483,3.86428,0.45201,75.0,
KHM,,,,,,,0.06,,0.06,,0.17,,,,,,,,0.18,0.17,0.17,0.2,0.15,0.16,0.16,0.16,0.3,0.31,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,68.0,,209.0,,,,,,,,258.0,245.0,242.0,292.0,223.0,239.0,252.0,250.0,476.0,500.0,497.0,,,,,,,,,,,,,,,,,,,125.0,,143.0,,,,,,,,,,,,,,61.0,58.0,125.0,,,,383.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.1,16396.86,0.00139,0.02292,,,
KIR,,,,,,,,,0.47,,,,,,0.31,,,,,,0.37,0.27,,0.62,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,3.0,,,,,,4.0,3.0,,7.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,247.0,126.463,2.61269,0.30568,,,
KNA,2.97,1.73,2.21,2.18,2.39,2.6,2.56,2.3,2.73,3.14,,3.28,,,,,,,,,,,,,,4.25,,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,7.0,9.0,9.0,10.0,11.0,11.0,10.0,12.0,14.0,,15.0,,,,,,,,,,,,,,20.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507.0,47.642,56.98299,3.01064,,,
KOR,1.76,1.85,2.01,2.16,2.29,2.44,2.53,2.68,2.79,3.02,3.08,3.13,3.3,3.37,3.58,3.71,3.86,3.96,4.08,4.21,4.29,4.36,4.41,4.49,4.54,4.62,4.71,4.91,4.99,5.12,5.2,5.3,5.41,,,,,,,,,,,,,,,,,,,,,,,2908.0,3438.0,3506.0,3870.0,4301.0,4792.0,5504.0,6185.0,6685.0,7751.0,8223.0,8962.0,9693.0,10343.0,11082.0,11535.0,12318.0,12875.0,14058.0,14410.0,14729.0,15626.0,16033.0,17085.0,17771.0,18515.0,19092.0,19751.0,20415.0,20936.0,21410.0,21888.0,22482.0,22952.0,23540.0,24150.0,25300.0,25792.0,26486.0,26978.0,27491.0,27987.0,,,,,,,,,,,,,,,,,,,,,,,25626.0,,,,,,,,,,,,,,79230.0,,,,,,,,,,,,,,,,,,,,,,,,,,18946.0,,,,,,,,,,,,,,34935.0,,,,,,3521.0,51844.69,139.92966,7254.6532,6.81987,,
KWT,,,,,,,,,,,,3.35,,,,,3.14,3.39,3.63,3.77,5.55,5.86,6.14,6.27,6.19,6.75,4.64,4.68,4.72,4.85,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673.0,,,,,742.0,850.0,961.0,1054.0,1634.0,1836.0,2050.0,2198.0,2269.0,2587.0,1859.0,1943.0,2040.0,2153.0,3564.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2861.0,4360.444,46.41254,218.18533,,,
LAO,,,,,,,,,,,,,,,,,,,,0.37,,,0.49,,0.51,,,0.7,0.62,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.0,,,321.0,,341.0,,,494.0,439.0,,559.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.4,7319.399,0.63156,4.52388,,94.0,
LBN,,,,,,,,,,,,9.73,,,,,8.54,8.67,,9.94,10.7,12.29,,9.18,8.62,8.54,10.43,10.92,11.7,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4283.0,,,,,4058.0,4200.0,,4964.0,5395.0,6261.0,,5270.0,5469.0,5527.0,6595.0,6727.0,7001.0,,7128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289.0,5662.923,17.29434,104.90746,,50.0,
LBR,,,,,,,,,,,,,,,0.01,,,,0.01,,,,,,,,,,0.01,0.01,0.01,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,4.0,,,,,,,,,,3.0,4.0,6.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,126.0,5087.584,0.16274,0.74502,,90.0,
LBY,,,,,,,,1.37,,,,,,,1.48,,,,3.28,5.96,,,,,7.13,7.64,,8.57,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693.0,,,,,,,850.0,,,,2046.0,3792.0,,,,,4583.0,4987.0,,5776.0,,,4086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6653.942,9.34287,61.45738,,,
LCA,,,,,,,,,,0.57,,1.69,,,,,,,,,1.64,2.45,2.84,3.11,2.24,,,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,27.0,,,,,,,,,28.0,42.0,49.0,54.0,39.0,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697.7,179.237,29.98336,5.39701,,,
LKA,0.22,0.19,0.21,0.23,,0.22,0.24,0.25,0.26,0.28,0.33,,0.38,,0.38,0.47,0.58,0.64,0.64,0.41,0.5,0.55,0.58,0.6,0.63,0.63,0.66,0.67,0.62,1.03,1.02,1.01,,0.96,,,,,,,,,,,,,,,,,,,,,218.0,,,,,,,,355.0,,355.0,317.0,358.0,390.0,,387.0,421.0,462.0,481.0,521.0,637.0,,751.0,,771.0,954.0,1181.0,1314.0,1314.0,858.0,1046.0,1147.0,1223.0,1279.0,1360.0,1360.0,1443.0,1473.0,1380.0,2300.0,2300.0,2282.0,,2200.0,,,,,,,,,,,,,,,,,,,,,,448.0,,,402.0,,,,,,,,,375.0,368.0,380.0,365.0,365.0,357.0,,360.0,,,,,,,,,,,,,,,,,,,,,26.0,,,27.0,,,,,,,,50.0,40.0,42.0,30.0,66.0,78.0,65.0,,54.0,569.6,21715.079,1.8248,40.0251,0.02626,100.0,
LSO,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.73,0.17,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,159.0,37.0,,,84.0,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,47.0,,,63.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,6.0,,,13.0,,313.6,2254.1,4.56139,9.34172,0.02823,,
LTU,6.05,5.73,5.53,5.27,4.97,4.7,4.64,5.89,6.27,6.5,6.85,6.95,6.5,6.72,6.49,7.13,6.6,7.18,6.9,7.42,7.93,8.21,8.99,9.05,9.1,9.1,9.71,10.03,10.32,10.54,11.09,10.5,11.02,16.84,,,,,,,,,,,,,,,,,,,,,1924.0,1964.0,2031.0,2113.0,2134.0,2156.0,2178.0,2224.0,2230.0,2259.0,2236.0,2120.0,2044.0,1938.0,1816.0,1706.0,1671.0,2106.0,2226.0,2288.0,2396.0,2415.0,2237.0,2294.0,2190.0,2368.0,2158.0,2321.0,2206.0,2347.0,2456.0,2486.0,2685.0,2678.0,2669.0,2644.0,2787.0,2839.0,2892.0,2946.0,3100.0,2934.0,3104.0,4806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2797.0,2820.267,71.47407,198.98382,,,0.94
LUX,5.19,5.12,5.23,5.11,5.22,5.46,5.58,5.85,6.18,6.26,5.96,6.23,6.45,6.49,7.72,7.95,7.93,8.04,8.14,8.19,8.32,8.41,8.31,8.47,8.56,8.89,9.43,9.74,,,,,,,,,,,,,,,,,,,,,,,,,,,131.0,121.0,141.0,147.0,158.0,168.0,181.0,175.0,179.0,192.0,198.0,198.0,205.0,203.0,210.0,223.0,231.0,245.0,262.0,269.0,260.0,275.0,288.0,293.0,354.0,370.0,375.0,386.0,398.0,408.0,422.0,436.0,441.0,460.0,476.0,506.0,550.0,581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.0,,,,,6757.0,630.399,345.35041,212.04515,5.39197,,2.0
LVA,5.79,5.58,3.69,3.4,3.56,3.57,4.68,4.41,4.14,4.69,5.22,5.3,5.46,5.56,6.04,6.34,6.49,6.65,6.96,7.05,7.09,7.07,7.1,7.25,7.02,7.17,7.2,7.1,7.06,7.13,7.16,7.15,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,1483.0,1500.0,1500.0,1500.0,1500.0,1539.0,1478.0,966.0,872.0,898.0,887.0,1149.0,1074.0,997.0,1122.0,1237.0,1240.0,1261.0,1273.0,1367.0,1421.0,1441.0,1463.0,1515.0,1510.0,1488.0,1456.0,1445.0,1459.0,1400.0,1419.0,1411.0,1380.0,1361.0,1364.0,1362.0,1349.0,1331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0,,,,,2098.0,1897.052,58.08059,112.03745,0.99122,100.0,0.0
MAR,,,,,,,,,,,,,,,1.03,,,,,0.83,,,,,1.36,1.41,,1.37,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3091.0,,,,,2668.0,,,,,4655.0,4872.0,,4855.0,,,,5174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.5,36688.772,2.30685,82.09379,,60.0,
MCO,,,11.65,,,10.76,,,,,,,,,,,,,,,,11.21,10.66,10.73,10.53,,,,9.16,9.45,9.19,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,32.0,,,,,,,31.0,,,36.0,,,34.0,,,,,,,,,,,,,,,,38.0,37.0,38.0,38.0,,,,35.0,36.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3080.0,36.922,867.22083,33.79299,,,66.67
MDA,4.38,4.26,4.31,4.27,4.34,4.36,4.19,4.28,4.24,4.0,3.14,3.11,3.29,3.35,3.47,3.64,3.76,3.99,4.2,4.3,4.52,4.7,4.8,5.14,5.24,5.41,5.3,5.35,5.44,5.41,5.38,5.09,5.11,4.98,,,,,,,,,,,,,,,,,,,,,1353.0,1378.0,1446.0,1525.0,1607.0,1675.0,1763.0,1832.0,1897.0,1968.0,1950.0,1900.0,1918.0,1897.0,1926.0,1923.0,1840.0,1865.0,1832.0,1712.0,1330.0,1301.0,1363.0,1373.0,1402.0,1453.0,1476.0,1535.0,1587.0,1593.0,1641.0,1672.0,1670.0,1751.0,1751.0,1778.0,1717.0,1708.0,1717.0,1684.0,1652.0,1540.0,1552.0,1527.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860.2,3084.847,1.42613,5.05135,,,1.24
MDG,,,,,,,,,,,,,0.07,0.09,0.09,0.1,0.1,0.1,0.1,0.08,0.09,0.08,0.08,0.05,,,,,0.08,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,159.0,161.0,197.0,196.0,194.0,209.0,178.0,195.0,180.0,181.0,111.0,,,,,225.0,,,,251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,65.23,28225.177,0.15363,4.15648,0.00445,,
MDV,,,,,,,,,,,,,,,0.33,,,,,1.29,0.89,,,,,1.45,0.2,0.72,0.53,1.13,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,45.0,32.0,,,,,62.0,9.0,33.0,25.0,55.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,44.0,,44.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,40.0,,,1.0,,,,,,,1640.0,514.438,1.70007,0.63243,0.01883,100.0,
MEX,0.55,0.6,0.63,0.71,0.75,0.97,0.97,1.0,1.02,1.04,1.01,0.97,0.97,0.94,0.98,0.94,0.97,1.01,1.05,1.08,1.16,1.17,1.17,1.23,1.29,1.31,1.37,1.38,1.21,1.34,1.15,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4592.0,5091.0,5386.0,6259.0,6662.0,8820.0,8961.0,9392.0,9743.0,10108.0,9962.0,9711.0,9843.0,9675.0,10202.0,9957.0,10437.0,10954.0,11615.0,12101.0,13225.0,13451.0,13677.0,14492.0,15397.0,15894.0,16798.0,17073.0,15087.0,16870.0,14528.0,15052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12543.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18598.0,,,,,,,,,,,,,,,,,,,,,,,,1111.0,125998.302,16.7001,2103.02748,,51.0,
MHL,,,,,,,,,,,,,,,,,,1.15,,,0.77,,0.78,,,,,,,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,4.0,,4.0,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,22.0,,,,,,,4.0,,,,,592.6,43.413,5.84017,0.32705,0.68038,,
MKD,5.39,5.44,5.3,5.37,5.46,5.43,5.36,5.38,5.61,5.51,5.49,5.45,5.7,5.44,5.44,6.58,5.62,6.29,6.67,6.92,7.79,7.95,8.15,8.47,8.82,9.21,9.21,9.33,9.69,9.47,8.77,,9.24,,,,,,,,,,,,,,,,,,,,,,446.0,526.0,563.0,620.0,665.0,778.0,868.0,927.0,1009.0,1107.0,1112.0,1118.0,1078.0,1078.0,1087.0,1086.0,1078.0,1089.0,1144.0,1128.0,1129.0,1125.0,1183.0,1132.0,1134.0,1375.0,1175.0,1310.0,1381.0,1425.0,1599.0,1622.0,1652.0,1705.0,1762.0,1824.0,1806.0,1811.0,1861.0,1796.0,1641.0,,1701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.0,,1314.0,2111.072,15.34134,31.89464,,90.0,
MLI,,,,,,,,,,,,,,,0.03,,,,,0.03,0.02,,,,,,0.06,,0.02,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,39.0,35.0,,,,,,107.0,,30.0,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,53.0,53.0,,,,53.0,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,79.0,66.0,,,,,,,,15.0,,,,15.0,,94.55,21224.04,0.0665,1.26984,0.00763,,
MLT,,,,2.91,,,,3.12,3.43,3.96,3.93,3.92,3.92,4.09,4.41,4.72,4.57,4.2,4.37,4.25,4.35,4.38,4.45,4.6,4.63,4.63,4.7,4.77,4.79,5.02,5.19,5.15,5.11,,,,,,,,,,,,,,,,,,,,,,,49.0,57.0,,53.0,,,91.0,91.0,92.0,,,,110.0,,,,122.0,135.0,157.0,157.0,158.0,159.0,167.0,181.0,195.0,190.0,175.0,183.0,179.0,184.0,186.0,190.0,197.0,201.0,206.0,214.0,223.0,232.0,253.0,269.0,270.0,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,4040.0,515.358,91.64042,44.4456,1.1581,100.0,1.16
MMR,,,,,,,,,,,,,,,0.28,0.34,0.36,0.39,0.48,0.47,0.52,0.56,0.6,,,0.64,0.68,0.83,0.67,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857.0,,,,,,,,,,,,,,,,1329.0,1594.0,1732.0,1867.0,2305.0,2308.0,2562.0,2770.0,3011.0,,,3270.0,3510.0,4301.0,3500.0,3800.0,,,,,,,,,,96.0,,,,,,,,,,,,,,,,,162.0,165.0,177.0,244.0,262.0,287.0,316.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,130.0,,,,,,226.8,53423.198,0.00684,0.36243,0.02405,97.0,
MNE,,,,,,,,,,,,,,,,4.31,4.15,3.92,0.71,0.57,0.41,0.38,0.4,0.4,0.4,0.43,0.48,0.47,0.47,0.52,0.51,0.6,0.6,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.0,263.0,248.0,45.0,36.0,26.0,24.0,25.0,25.0,25.0,27.0,30.0,29.0,29.0,32.0,31.0,36.0,37.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,13.0,13.0,16.0,14.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,35.0,36.0,18.0,33.0,32.0,1984.0,629.048,9.18496,5.72223,0.44587,,
MNG,,,,,,,,,,,,,1.26,,,,,,1.95,1.98,1.97,2.38,2.85,,,,2.35,,4.09,4.43,4.7,4.86,5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.0,,,,,,513.0,528.0,533.0,652.0,796.0,,,,715.0,,1294.0,1431.0,1548.0,1624.0,1833.0,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.4,3294.335,10.6521,35.15193,,95.0,
MOZ,,,,,,,,,,,,,,,0.01,,,,,0.02,0.03,0.03,0.03,0.05,,0.07,,0.08,0.09,0.1,0.09,0.11,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,53.0,60.0,75.0,69.0,136.0,,189.0,,217.0,255.0,288.0,277.0,355.0,348.0,366.0,,,,,,,,,,,,,,,,,,,,,,,,,,,211.0,222.0,252.0,305.0,238.0,,45.0,,319.0,39.0,305.0,318.0,340.0,341.0,17.0,,,,,,,,,,,,,,,,,,,,,143.0,,,,,25.0,166.0,42.0,33.0,44.0,,212.0,,,276.0,27.0,,,,433.0,104.8,31178.239,0.156,4.86045,0.09089,60.0,
MRT,,,,,,,,,,,,,,,0.16,,,,,0.21,,,,,,,,,0.26,0.26,0.25,0.26,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,70.0,,,,,,,,,112.0,118.0,117.0,121.0,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,15.0,,,,,,,,,,,,,9.0,,187.1,4498.604,0.42767,1.73548,0.07955,30.0,
MUS,,,,,,,,,,,,,,1.24,1.34,,,1.8,1.84,1.96,2.03,2.08,2.34,2.72,2.83,2.94,2.98,3.11,,3.2,,,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.0,167.0,,,228.0,235.0,250.0,260.0,268.0,301.0,351.0,366.0,380.0,385.0,401.0,,412.0,,,414.0,,,,,,,,,,,,,,,,,,,,,,,66.0,,,,,,,230.0,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,15.0,,,15.0,,1476.0,1297.828,13.26158,16.80242,0.11814,100.0,
MWI,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,0.06,,0.08,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.0,,,,,,,,,,112.0,,149.0,,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,211.0,180.0,,,,,,,,,,,204.0,,173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,81.7,19377.061,0.1215,2.46507,,,
