IndicatorCode,FOODBORNE_DALY,FOODBORNE_DALY_100k,FOODBORNE_DALY_CASE,FOODBORNE_DTH,FOODBORNE_DTH_100K,FOODBORNE_ILL,FOODBORNE_ILL_100K,FOODBORNE_YLD,FOODBORNE_YLD_100K,FOODBORNE_YLD_CASE,FOODBORNE_YLL,FOODBORNE_YLL_100K,FOODBORNE_YLL_CASE,FOODSAFETY_IHR_PERCENT,FOODSAFETY_IHR_PERCENT,FOODSAFETY_IHR_PERCENT,FOODSAFETY_IHR_PERCENT,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,IHRSPAR2_C13,IHRSPAR2_C13,IHRSPAR2_C13
YEAR,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2021,2022,2023,2024,2016,2017,2018,2019,2021,2022,2023,2024,2021,2022,2023
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,46.0,45.0
13,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,75.0,70.0
14,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,51.0,50.0
142,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,61.0,61.0
143,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,56.0,52.0
145,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,67.0,66.0
15,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,60.0,60.0
150,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,83.0,80.0
151,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,84.0,76.0
154,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,90.0,94.0
155,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,76.0,80.0
17,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,36.0,27.0
18,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,52.0,48.0
19,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,72.0,68.0
199,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,43.0,42.0
2,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,48.0,46.0
202,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,47.0,44.0
21,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0
29,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,74.0,71.0
30,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,68.0,76.0
34,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,49.0,51.0
35,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,62.0,60.0
39,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,82.0,73.0
419,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,70.0,66.0
432,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,51.0,49.0
5,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,63.0,58.0
513,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,84.0,81.0
514,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,84.0,82.0
515,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,57.0,55.0
53,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,90.0,90.0
54,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,60.0,55.0
543,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,51.0,49.0
57,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,40.0,44.0
61,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,50.0,50.0
62,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,51.0,51.0
722,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,61.0,57.0
747,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,65.0,64.0
753,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,64.0,65.0
777,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,84.0,81.0
9,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,60.0,55.0
AFG,,,,,,,,,,,,,,20.0,20.0,20.0,20.0,1.0,,,,,,,,20.0,20.0,20.0
AFR,603377.4668148148,153.3178888888889,3.379824,7891.714281481482,1.834562962962963,5030026.777814815,1553.4154296296297,49257.428148148145,11.8216,0.9529679999999999,552776.8125925927,141.03157777777778,2.463216,,,,43.0,,,,,,,,,45.106384,46.80851,44.255318
AGO,,,,,,,,,,,,,,20.0,20.0,40.0,40.0,,,,1.5,,,2.0,,20.0,20.0,40.0
ALB,,,,,,,,,,,,,,80.0,100.0,100.0,100.0,4.0,,,,,,,,80.0,100.0,100.0
AMR,62329.54888888889,20.874362962962966,2.2384758064516133,518.7867111111111,0.13297777777777778,4405002.220000001,1538.0628148148148,31469.391407407405,10.940170370370371,1.1203064516129033,30483.394074074076,9.702444444444444,1.1304999999999998,,,,63.0,,,,,,,,,70.625,72.0,68.0
AND,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,
ARE,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,5.0,,,,,,,80.0,80.0,80.0
ARG,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0
ARM,,,,,,,,,,,,,,60.0,60.0,40.0,60.0,5.0,,,,,,2.5,,60.0,60.0,40.0
ATG,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0
AUS,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,,5.0,,,,,,,100.0,100.0,100.0
AUT,,,,,,,,,,,,,,100.0,80.0,80.0,80.0,,,,,,,,,100.0,80.0,80.0
AZE,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,3.5,,80.0,80.0,80.0
BDI,,,,,,,,,,,,,,20.0,20.0,20.0,20.0,,,2.0,,,,1.0,,20.0,20.0,20.0
BEL,,,,,,,,,,,,,,80.0,20.0,60.0,60.0,,5.0,,,,,,,80.0,20.0,60.0
BEN,,,,,,,,,,,,,,40.0,40.0,20.0,60.0,,1.0,,,,,1.0,,40.0,40.0,20.0
BFA,,,,,,,,,,,,,,40.0,40.0,40.0,40.0,,1.0,,,,,,2.0,40.0,40.0,40.0
BGD,,,,,,,,,,,,,,60.0,60.0,80.0,80.0,3.0,,,,,,,2.0,60.0,60.0,80.0
BGR,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0
BHR,,,,,,,,,,,,,,100.0,80.0,100.0,100.0,4.0,,,,,,,,100.0,80.0,100.0
BHS,,,,,,,,,,,,,,60.0,80.0,80.0,80.0,,,,,,,,,60.0,80.0,80.0
BIH,,,,,,,,,,,,,,40.0,40.0,40.0,,,,,,,,,,40.0,40.0,40.0
BLR,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,,,,,,,,,100.0,100.0,100.0
BLZ,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,0.0,,,,,,,,80.0,80.0,80.0
BOL,,,,,,,,,,,,,,20.0,80.0,20.0,20.0,,,,,,,,,20.0,80.0,20.0
BRA,,,,,,,,,,,,,,100.0,100.0,80.0,40.0,,,,,,,,,100.0,100.0,80.0
BRB,,,,,,,,,,,,,,,80.0,80.0,80.0,,,,,,,,,,80.0,80.0
BRN,,,,,,,,,,,,,,,,80.0,80.0,,,,3.0,,,,,,,80.0
BTN,,,,,,,,,,,,,,60.0,60.0,60.0,60.0,,2.0,,,,,,,60.0,60.0,60.0
BWA,,,,,,,,,,,,,,40.0,40.0,80.0,20.0,,1.0,,,,,,2.0,40.0,40.0,80.0
CAF,,,,,,,,,,,,,,40.0,40.0,20.0,20.0,,,1.0,,,,1.0,,40.0,40.0,20.0
CAN,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,,,5.0,,,,,,100.0,100.0,100.0
CHE,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,4.0,,,,,,,80.0,80.0,80.0
CHL,,,,,,,,,,,,,,80.0,40.0,80.0,40.0,,,,,,,,,80.0,40.0,80.0
CHN,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0
CIV,,,,,,,,,,,,,,,,,40.0,2.0,,,,,,2.5,,20.0,20.0,40.0
CMR,,,,,,,,,,,,,,20.0,20.0,40.0,40.0,,2.0,,,,,,,20.0,20.0,40.0
COD,,,,,,,,,,,,,,40.0,40.0,20.0,20.0,,,,,,,2.0,,40.0,40.0,20.0
COG,,,,,,,,,,,,,,80.0,80.0,20.0,20.0,,,,1.0,,,1.0,,80.0,80.0,20.0
COK,,,,,,,,,,,,,,80.0,60.0,60.0,60.0,,,,,,,,,80.0,60.0,60.0
COL,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0
COM,,,,,,,,,,,,,,40.0,40.0,40.0,40.0,,2.0,,,,,,,40.0,40.0,40.0
CPV,,,,,,,,,,,,,,60.0,80.0,80.0,40.0,,,,1.0,,,,,60.0,80.0,80.0
CRI,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0
CUB,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,,,,,,,,,100.0,100.0,100.0
CYP,,,,,,,,,,,,,,100.0,100.0,100.0,80.0,,,,,,,,,100.0,100.0,100.0
CZE,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0
DEU,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0
DJI,,,,,,,,,,,,,,60.0,60.0,40.0,40.0,,,2.0,,,,,,60.0,60.0,40.0
DMA,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0
DNK,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,,,,,,,,,100.0,100.0,100.0
DOM,,,,,,,,,,,,,,80.0,80.0,60.0,60.0,,,,,,,,,80.0,80.0,60.0
DZA,,,,,,,,,,,,,,60.0,40.0,40.0,80.0,,,,,,2.5,,,60.0,40.0,40.0
ECU,,,,,,,,,,,,,,80.0,80.0,60.0,20.0,,,,,,,,,80.0,80.0,60.0
EGY,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,0.0,,,,,,80.0,80.0,80.0
EMR,172419.43259259258,97.19540740740742,2.208393442622951,2063.533451851852,1.0222222222222221,5674844.037103704,2132.4532222222224,19549.35851851852,9.15794074074074,0.8935819672131147,152119.7765925926,87.66422222222222,1.323606557377049,,,,63.0,,,,,,,,,60.0,60.952381,59.047619
ERI,,,,,,,,,,,,,,20.0,40.0,40.0,40.0,2.0,,,,,,,,20.0,40.0,40.0
ESP,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0
EST,,,,,,,,,,,,,,60.0,80.0,80.0,80.0,,,,,,,4.5,,60.0,80.0,80.0
ETH,,,,,,,,,,,,,,40.0,60.0,40.0,40.0,2.0,,,,,,3.5,,40.0,60.0,40.0
EUR,23699.998518518518,7.851770370370371,2.8806171875,265.7335037037037,0.062207407407407406,1400198.5977777776,310.7255333333333,9713.553333333333,3.2497185185185185,1.27203125,13900.088296296295,4.574,1.5875859375,,,,78.0,,,,,,,,,77.647057,78.490562,75.555557
FIN,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,,5.0,,,,,,,100.0,100.0,100.0
FJI,,,,,,,,,,,,,,80.0,60.0,80.0,80.0,,,,,,,,,80.0,60.0,80.0
FRA,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0
FSM,,,,,,,,,,,,,,40.0,40.0,40.0,40.0,,,,,,,,,40.0,40.0,40.0
GAB,,,,,,,,,,,,,,20.0,20.0,20.0,20.0,,,,1.0,,,,,20.0,20.0,20.0
GBR,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,,,,,,,,,100.0,100.0,100.0
GEO,,,,,,,,,,,,,,40.0,60.0,60.0,60.0,,,,2.0,,,,2.5,40.0,60.0,60.0
GHA,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,2.0,,,,,,,80.0,80.0,80.0
GIN,,,,,,,,,,,,,,40.0,40.0,40.0,40.0,,1.0,,,,,1.5,,40.0,40.0,40.0
GLOBAL,1891493.2511111111,81.92516296296297,3.8643731343283583,23879.1778,0.8665333333333334,34753086.26814815,1474.5013925925925,323488.7451851852,13.083777777777778,1.3332164179104478,1564491.957777778,68.58197037037037,2.525186567164179,,,,62.0,,,,,,,,,63.0,64.0,62.0
GMB,,,,,,,,,,,,,,20.0,40.0,80.0,20.0,,2.0,,,,,,0.0,20.0,40.0,80.0
GNB,,,,,,,,,,,,,,20.0,40.0,40.0,40.0,,,,1.0,,,,,20.0,40.0,40.0
GNQ,,,,,,,,,,,,,,20.0,20.0,40.0,40.0,,,,,,,,,20.0,20.0,40.0
GRC,,,,,,,,,,,,,,100.0,100.0,60.0,60.0,,,,,,,,,100.0,100.0,60.0
GRD,,,,,,,,,,,,,,,40.0,60.0,60.0,,,0.0,,,,,,,40.0,60.0
GTM,,,,,,,,,,,,,,40.0,20.0,20.0,20.0,,,,,,,,,40.0,20.0,20.0
GUY,,,,,,,,,,,,,,80.0,40.0,40.0,40.0,,,,,,,,,80.0,40.0,40.0
HND,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0
HRV,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0
HTI,,,,,,,,,,,,,,40.0,40.0,40.0,40.0,,,,,,,,,40.0,40.0,40.0
HUN,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0
IDN,,,,,,,,,,,,,,40.0,60.0,80.0,100.0,,3.0,,,,,3.5,,40.0,60.0,80.0
IND,,,,,,,,,,,,,,60.0,60.0,60.0,80.0,,,,,,,,,60.0,60.0,60.0
IRL,,,,,,,,,,,,,,100.0,80.0,80.0,100.0,,,,,,,,,100.0,80.0,80.0
IRN,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0
IRQ,,,,,,,,,,,,,,40.0,60.0,40.0,40.0,,,,2.0,,,2.0,,40.0,60.0,40.0
ISL,,,,,,,,,,,,,,80.0,80.0,100.0,100.0,,,,,,,,,80.0,80.0,100.0
ISR,,,,,,,,,,,,,,,80.0,80.0,80.0,,,,,,,,,,80.0,80.0
ITA,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,,,,,,,,,100.0,100.0,100.0
JAM,,,,,,,,,,,,,,80.0,100.0,80.0,60.0,,,,,,,,,80.0,100.0,80.0
JOR,,,,,,,,,,,,,,40.0,40.0,40.0,80.0,3.0,,,,,,,,40.0,40.0,40.0
JPN,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,,,5.0,,,,,,100.0,100.0,100.0
KAZ,,,,,,,,,,,,,,100.0,60.0,60.0,80.0,,,,,,,,,100.0,60.0,60.0
KEN,,,,,,,,,,,,,,60.0,40.0,40.0,40.0,,3.0,,,,,,1.0,60.0,40.0,40.0
KGZ,,,,,,,,,,,,,,40.0,40.0,40.0,40.0,4.0,,,,,,1.5,,40.0,40.0,40.0
KHM,,,,,,,,,,,,,,60.0,60.0,80.0,80.0,2.0,,,,,,,3.0,60.0,60.0,80.0
KIR,,,,,,,,,,,,,,60.0,,40.0,40.0,,,,,,,,,60.0,,40.0
KNA,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0
KOR,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,,,,,,,,,100.0,100.0,100.0
KWT,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,3.0,,,,,,,80.0,80.0,80.0
LAO,,,,,,,,,,,,,,40.0,40.0,40.0,40.0,,,,,,,,,40.0,40.0,40.0
LBN,,,,,,,,,,,,,,40.0,40.0,40.0,40.0,2.0,,,,,,,,40.0,40.0,40.0
LBR,,,,,,,,,,,,,,40.0,40.0,40.0,40.0,1.0,,,,,,2.0,,40.0,40.0,40.0
LBY,,,,,,,,,,,,,,40.0,60.0,60.0,40.0,,,3.0,,,,,,40.0,60.0,60.0
LCA,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0
LIE,,,,,,,,,,,,,,,,,80.0,,,,,,,,,80.0,80.0,80.0
LKA,,,,,,,,,,,,,,60.0,60.0,60.0,60.0,,3.0,,,,,2.0,,60.0,60.0,60.0
LSO,,,,,,,,,,,,,,20.0,40.0,40.0,60.0,,2.0,,,,,,,20.0,40.0,40.0
LTU,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,,,5.0,,,,,,100.0,100.0,100.0
LUX,,,,,,,,,,,,,,60.0,80.0,80.0,80.0,,,,,,,,,60.0,80.0,80.0
LVA,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,5.0,,,,,,,80.0,80.0,80.0
MAR,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,4.0,,,,,,,,80.0,80.0,80.0
MCO,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0
MDA,,,,,,,,,,,,,,40.0,80.0,60.0,60.0,,,,,,,,,40.0,80.0,60.0
MDG,,,,,,,,,,,,,,40.0,40.0,40.0,60.0,,2.0,,,,,,,40.0,40.0,40.0
MDV,,,,,,,,,,,,,,20.0,40.0,60.0,40.0,,2.0,,,,,,,20.0,40.0,60.0
MEX,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0
MHL,,,,,,,,,,,,,,,,60.0,60.0,,,,2.0,,,,,,,60.0
MKD,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,3.0,,,,,80.0,80.0,80.0
MLI,,,,,,,,,,,,,,60.0,60.0,20.0,40.0,,2.0,,,,,1.0,,60.0,60.0,20.0
MLT,,,,,,,,,,,,,,80.0,80.0,60.0,60.0,,,,,,,,,80.0,80.0,60.0
MMR,,,,,,,,,,,,,,60.0,60.0,60.0,60.0,,2.0,,,,,,,60.0,60.0,60.0
MNE,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,2.0,,,,,80.0,80.0,80.0
MNG,,,,,,,,,,,,,,80.0,20.0,60.0,40.0,,3.0,,,,,3.0,,80.0,20.0,60.0
MOZ,,,,,,,,,,,,,,60.0,80.0,40.0,40.0,3.0,,,,,,,,60.0,80.0,40.0
MRT,,,,,,,,,,,,,,20.0,20.0,40.0,40.0,,1.0,,,,,1.0,,20.0,20.0,40.0
MUS,,,,,,,,,,,,,,60.0,20.0,20.0,40.0,,,4.0,,,,,,60.0,20.0,20.0
MWI,,,,,,,,,,,,,,40.0,40.0,80.0,60.0,,,,1.0,,,,,40.0,40.0,80.0
MYS,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,4.5,,,,,80.0,80.0,80.0
NAM,,,,,,,,,,,,,,60.0,60.0,60.0,60.0,3.0,,,,,,,,60.0,60.0,60.0
NER,,,,,,,,,,,,,,20.0,20.0,20.0,20.0,,,2.0,,,,,,20.0,20.0,20.0
NGA,,,,,,,,,,,,,,60.0,60.0,40.0,40.0,,2.0,,,,,3.0,,60.0,60.0,40.0
NIC,,,,,,,,,,,,,,80.0,80.0,60.0,60.0,,,,,,,,,80.0,80.0,60.0
NIU,,,,,,,,,,,,,,,20.0,20.0,20.0,,,,,,,,,,20.0,20.0
NLD,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,,,,,,,,,100.0,100.0,100.0
NOR,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,,,,,,,,,100.0,100.0,100.0
NPL,,,,,,,,,,,,,,40.0,20.0,20.0,20.0,,,,,,1.5,,,40.0,20.0,20.0
NRU,,,,,,,,,,,,,,,,20.0,20.0,,,,,,,,,,,20.0
NZL,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,4.5,,,,,,80.0,80.0,80.0
OMN,,,,,,,,,,,,,,60.0,80.0,80.0,80.0,,5.0,,,,,,,60.0,80.0,80.0
PAK,,,,,,,,,,,,,,40.0,40.0,20.0,20.0,2.0,,,,,,1.5,,40.0,40.0,20.0
PAN,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0
PER,,,,,,,,,,,,,,20.0,40.0,40.0,40.0,,,,,,,,,20.0,40.0,40.0
PHL,,,,,,,,,,,,,,60.0,60.0,0.0,60.0,,,2.0,,,,,,60.0,60.0,0.0
PLW,,,,,,,,,,,,,,40.0,,60.0,60.0,,,,3.5,,,,,40.0,,60.0
PNG,,,,,,,,,,,,,,,,40.0,20.0,,,,,,,,,,,40.0
POL,,,,,,,,,,,,,,80.0,100.0,80.0,100.0,,,,,,,,,80.0,100.0,80.0
PRK,,,,,,,,,,,,,,40.0,40.0,40.0,40.0,,,,,,,,,40.0,40.0,40.0
PRT,,,,,,,,,,,,,,100.0,100.0,80.0,80.0,,,,,,,,,100.0,100.0,80.0
PRY,,,,,,,,,,,,,,80.0,80.0,80.0,60.0,,,,,,,,,80.0,80.0,80.0
QAT,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,3.0,,,,,,,4.0,100.0,100.0,100.0
ROU,,,,,,,,,,,,,,60.0,60.0,60.0,60.0,,,,,,,,,60.0,60.0,60.0
RUS,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,,,,,,,,,100.0,100.0,100.0
RWA,,,,,,,,,,,,,,80.0,80.0,80.0,40.0,,,3.0,,,,,,80.0,80.0,80.0
SAU,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,,4.0,,,,,,,100.0,100.0,100.0
SDN,,,,,,,,,,,,,,20.0,20.0,20.0,40.0,2.0,,,,,,,,20.0,20.0,20.0
SEAR,717324.0297777777,107.67148148148148,3.181023076923077,9872.65557037037,1.250651851851852,8319270.755851852,1354.3180222222222,79055.05928148149,12.238266666666666,1.2096,636123.0979259259,95.00905925925926,1.9915923076923077,,,,58.0,,,,,,,,,50.909092,54.545456,60.0
SEN,,,,,,,,,,,,,,80.0,80.0,40.0,40.0,2.0,,,,,,1.5,,80.0,80.0,40.0
SGP,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,5.0,,,,,,80.0,80.0,80.0
SLB,,,,,,,,,,,,,,20.0,,40.0,60.0,,,,,,,,,20.0,,40.0
SLE,,,,,,,,,,,,,,40.0,40.0,60.0,60.0,2.0,,,,,,2.0,,40.0,40.0,60.0
SLV,,,,,,,,,,,,,,100.0,100.0,80.0,80.0,,,,,,,,,100.0,100.0,80.0
SMR,,,,,,,,,,,,,,20.0,,20.0,20.0,,,,,,,,,20.0,,20.0
SOM,,,,,,,,,,,,,,20.0,20.0,20.0,20.0,1.0,,,,,,,,20.0,20.0,20.0
SRB,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,2.5,,,,,,80.0,80.0,80.0
SSD,,,,,,,,,,,,,,40.0,20.0,40.0,40.0,,2.0,,,,,,3.5,40.0,20.0,40.0
STP,,,,,,,,,,,,,,40.0,40.0,20.0,20.0,,,,1.5,,,,,40.0,40.0,20.0
SUR,,,,,,,,,,,,,,20.0,20.0,20.0,20.0,,,,,,,,,20.0,20.0,20.0
SVK,,,,,,,,,,,,,,20.0,80.0,40.0,40.0,,,,,,,,,20.0,80.0,40.0
SVN,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,,5.0,,,,,,,100.0,100.0,100.0
SWE,,,,,,,,,,,,,,80.0,80.0,100.0,100.0,,,,,,,,,80.0,80.0,100.0
SWZ,,,,,,,,,,,,,,40.0,40.0,40.0,20.0,,,,,,,,,40.0,40.0,40.0
SYC,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,5.0,,,,,,80.0,80.0,80.0
SYR,,,,,,,,,,,,,,60.0,60.0,60.0,60.0,,,,,,,2.5,,60.0,60.0,60.0
TCD,,,,,,,,,,,,,,40.0,40.0,20.0,20.0,,1.0,,,,,1.0,,40.0,40.0,20.0
TGO,,,,,,,,,,,,,,40.0,40.0,40.0,20.0,,,2.0,,,,,1.0,40.0,40.0,40.0
THA,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,3.0,,,,4.0,,,80.0,80.0,80.0
TJK,,,,,,,,,,,,,,40.0,40.0,40.0,40.0,,,,2.5,,,,,40.0,40.0,40.0
TKM,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,5.0,,,,,,,,80.0,80.0,80.0
TLS,,,,,,,,,,,,,,40.0,60.0,60.0,20.0,,,1.5,,,,,,40.0,60.0,60.0
TON,,,,,,,,,,,,,,20.0,80.0,80.0,40.0,,,,,,,,2.0,20.0,80.0,80.0
TTO,,,,,,,,,,,,,,,80.0,60.0,60.0,,,,,,,,,,80.0,60.0
TUN,,,,,,,,,,,,,,80.0,80.0,80.0,100.0,3.0,,,,,,,,80.0,80.0,80.0
TUR,,,,,,,,,,,,,,,20.0,,20.0,,,,,,,,,,20.0,20.0
TUV,,,,,,,,,,,,,,80.0,,,60.0,,,,,,,,,80.0,,
TZA,,,,,,,,,,,,,,40.0,80.0,80.0,80.0,,,,,,,2.5,,40.0,80.0,80.0
UGA,,,,,,,,,,,,,,40.0,40.0,40.0,40.0,,2.0,,,,,2.0,,40.0,40.0,40.0
UKR,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,3.0,,,,80.0,80.0,80.0
URY,,,,,,,,,,,,,,20.0,40.0,60.0,60.0,,,,,,,,,20.0,40.0,60.0
USA,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,,,,,,,,5.0,100.0,100.0,100.0
UZB,,,,,,,,,,,,,,40.0,60.0,40.0,60.0,,,,,,2.5,,,40.0,60.0,40.0
VCT,,,,,,,,,,,,,,20.0,40.0,40.0,20.0,,,,,,,,,20.0,40.0,40.0
VEN,,,,,,,,,,,,,,80.0,80.0,60.0,80.0,,,,,,,,,80.0,80.0,60.0
VNM,,,,,,,,,,,,,,40.0,40.0,20.0,40.0,3.0,,,,,,,,40.0,40.0,20.0
VUT,,,,,,,,,,,,,,80.0,60.0,60.0,40.0,,,,,,,,,80.0,60.0,60.0
WPR,278679.8822962963,45.43272592592592,3.698091603053435,2770.4592592592594,0.3073259259259259,6810070.868222223,1230.6117037037036,131415.4594814815,23.65368888888889,1.3382213740458013,146012.29688888887,21.527007407407407,2.34236641221374,,,,59.0,,,,,,,,,65.454544,63.157894,59.23077
WSM,,,,,,,,,,,,,,40.0,40.0,40.0,40.0,,,,,,,1.0,,40.0,40.0,40.0
YEM,,,,,,,,,,,,,,40.0,20.0,20.0,40.0,,,,,,,1.0,,40.0,20.0,20.0
ZAF,,,,,,,,,,,,,,80.0,80.0,20.0,80.0,,3.0,,,,,,0.0,80.0,80.0,20.0
ZMB,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,2.0,,,,,2.0,,80.0,80.0,80.0
ZWE,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,2.0,,,,,,80.0,80.0,80.0
