IndicatorCode,HEPATITIS_DEATHS_RATE,HEPATITIS_HBV_ADDEDTEST_ANC_PERCENT,HEPATITIS_HBV_ADDEDTEST_ANC_PERCENT,HEPATITIS_HBV_ADDEDTEST_ANC_PERCENT,HEPATITIS_HBV_DEATHS_NUM,HEPATITIS_HBV_DIAGNOSED_NUM,HEPATITIS_HBV_DIAGNOSIS_PERINFECTED_PER100,HEPATITIS_HBV_INFECTIONS_NEW_NUM,HEPATITIS_HBV_LIVINGWITH_NUM,HEPATITIS_HBV_PREVALENCE_PER100,HEPATITIS_HBV_TESTING_ANC_PERCENT,HEPATITIS_HBV_TESTING_ANC_PERCENT,HEPATITIS_HBV_TESTING_ANC_PERCENT,HEPATITIS_HBV_TESTPOSITIVE_ANC_PERCENT,HEPATITIS_HBV_TESTPOSITIVE_ANC_PERCENT,HEPATITIS_HBV_TESTPOSITIVE_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_NUM,HEPATITIS_HBV_TREATMENT_PERDIAGNOSED_PER100,HEPATITIS_HBV_TREATMENT_PERINFECTED_PER100,HEPATITIS_HCV_DEATHS_NUM,HEPATITIS_HCV_DIAGNOSED_CRD_NUM,HEPATITIS_HCV_DIAGNOSED_NUM,HEPATITIS_HCV_DIAGNOSIS_PERINFECTED_CRD_PER100,HEPATITIS_HCV_INFECTIONS_NEW_NUM,HEPATITIS_HCV_LIVINGWITH_CRD_NUM,HEPATITIS_HCV_LIVINGWITH_NUM,HEPATITIS_HCV_PREVALENCE_PER100,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_CUM_NUM,HEPATITIS_HCV_TREATMENT_CUM_PERINFECTED_CRD_PER100,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_INITIATED_NUM,HEPATITIS_HCV_TREATMENT_PERDIAGNOSED_PER100,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPB_HBSAG_CARRIER,HEPB_HBSAG_CARRIER,PRISON_D4_HEPB_DIAG_TOT,PRISON_D4_HEPC_DIAG_TOT,SDGHEPHBSAGPRV,SDGHEPHBSAGPRV,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117
QAT,6.61,,,,91.0,8516.0,28.0,51.0,30160.0,1.1,,,,,,,,,,695.0,8.0,2.0,84.0,14949.0,12396.0,33.0,1526.0,44722.0,42170.0,1.5,88.0,87.1,,92.9,,0.0,,0.0,2687.0,6.0,100.0,0.0,100.0,100.0,130.0,18.0,,0.0,,0.0,16.0,17.650000000000002,,,0.7999999999999999,0.635,89.0,93.0,98.0,93.0,97.0,97.0,96.0,94.0,97.0,99.0,97.0,93.0,93.0,97.0,89.0,99.0,98.0,97.0,98.0,98.0,89.0,98.0,98.0,95.0,96.0
ROU,,,,,,942.0,0.0,,962571.0,5.1,,,,,,,,,,19594.0,100.0,2.0,,,58000.0,,,,136999.0,0.7,,,,,,,,,,,,,,,5901.0,,,,,,470.5,395.35,888.0,1017.0,2.75,2.195,98.0,98.0,99.0,98.0,99.0,98.0,99.0,99.0,97.0,95.0,98.0,96.0,96.0,96.0,94.0,90.0,90.0,92.0,93.0,90.0,87.0,86.0,85.0,79.0,79.0
RUS,9.29,,,,8477.0,496790.0,30.0,9297.0,1650951.0,1.1,,,,,,,,,,2971.0,1.0,0.0,4927.0,1172160.0,1028538.0,42.0,33877.0,2807219.0,2663597.0,1.9,,,,,,,,,151181.0,5.0,,,,,28079.0,13.0,,,,,2081.0,2363.5,,,1.9,1.875,0.0,43.0,81.0,94.0,96.0,97.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0
RWA,6.47,,,,706.0,138512.0,67.0,8115.0,207232.0,1.6,,,,,,,,,,8258.0,6.0,4.0,177.0,213947.0,157276.0,100.0,3352.0,118841.0,62170.0,0.5,0.9,0.8,2.0,0.6,,,,,59654.0,50.0,,,,100.0,23098.0,28.0,,,,,277.0,156.45000000000002,,,3.1,1.415,0.0,0.0,88.0,96.0,89.0,95.0,99.0,97.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,98.0,91.0,88.0,98.0,94.0,98.0
SAU,8.37,,,75.9,2402.0,60191.0,10.0,273.0,575956.0,0.8,,95.0,93.5,,0.1,0.1,,,5.3,6002.0,10.0,1.0,292.0,53947.0,30717.0,43.0,1943.0,124150.0,100920.0,0.1,,,100.0,99.4,,,,,24452.0,20.0,,,0.0,100.0,3750.0,45.0,,,,,328.0,9.4,,,1.2,0.025,93.0,95.0,97.0,95.0,96.0,97.0,96.0,96.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,96.0,95.0,97.0,98.0,97.0,97.0
SDN,8.45,,,,3299.0,241093.0,12.0,15376.0,2019584.0,4.3,,,,,,,,,,34121.0,14.0,2.0,875.0,75859.0,55684.0,14.0,11876.0,531211.0,511036.0,1.1,,,,,,,,,21236.0,4.0,,,,,1.0,28.0,,,,,1585.5,1689.25,,,5.2,4.56,0.0,0.0,0.0,0.0,0.0,22.0,60.0,78.0,78.0,72.0,75.0,93.0,92.0,93.0,94.0,93.0,93.0,95.0,93.0,93.0,90.0,84.0,84.0,51.0,39.0
SEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27061.5,,,0.7,1.515,10.0,9.0,9.0,11.0,18.0,24.0,28.0,30.0,47.0,53.0,53.0,56.0,75.0,75.0,82.0,88.0,89.0,90.0,90.0,91.0,86.0,83.0,93.0,90.0,92.0
SEN,30.05,,,,4755.0,10402.0,1.0,2569.0,917427.0,5.3,,35.3,,,4.0,,,,,961.0,9.0,0.0,548.0,11282.0,9633.0,9.0,2861.0,131530.0,129880.0,0.7,,,,,,,,,1736.0,1.0,,,,,193.0,15.0,,,,,664.0,627.5,,,5.85,4.14,0.0,0.0,0.0,0.0,54.0,84.0,89.0,94.0,88.0,86.0,89.0,92.0,91.0,92.0,89.0,89.0,93.0,93.0,92.0,91.0,83.0,85.0,93.0,92.0,91.0
SGP,24.44,,,17.1,1002.0,1629.0,1.0,41.0,130514.0,2.2,,,46.5,,,0.7,,,,500.0,31.0,0.0,376.0,29606.0,16737.0,95.0,116.0,31320.0,18451.0,0.3,99.3,99.1,98.0,93.9,100.0,100.0,100.0,100.0,13547.0,43.0,59.6,72.5,54.8,56.7,478.0,46.0,90.0,69.2,75.0,66.7,73.5,78.60000000000001,,,1.55,1.405,97.0,95.0,95.0,95.0,94.0,96.0,95.0,96.0,97.0,96.0,96.0,96.0,97.0,97.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,96.0,97.0,96.0
SLB,36.87,,,,258.0,3430.0,6.0,334.0,60022.0,8.3,,,,,,,,,,78.0,2.0,0.0,30.0,755.0,755.0,10.0,191.0,7293.0,7293.0,1.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,32.5,30.75,,,6.9,4.845,81.0,83.0,75.0,79.0,81.0,83.0,99.0,90.0,89.0,91.0,87.0,92.0,92.0,83.0,77.0,87.0,94.0,83.0,85.0,94.0,94.0,87.0,89.0,84.0,87.0
SLE,29.86,,,,2199.0,4006.0,1.0,2506.0,525971.0,13.5,,,,,,,,,,578.0,14.0,0.0,272.0,5617.0,4787.0,9.0,1422.0,65109.0,64279.0,0.7,,,,,,,,,874.0,1.0,,,,,96.0,16.0,,,,,642.5,328.95,,,13.4,4.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,77.0,84.0,86.0,89.0,91.0,92.0,83.0,86.0,84.0,90.0,93.0,95.0,91.0,92.0,91.0,91.0,91.0
SLV,5.93,,,,279.0,2915.0,5.0,51.0,55442.0,0.9,,,,,,,,,,567.0,19.0,1.0,94.0,966.0,938.0,7.0,74.0,14798.0,14771.0,0.2,,,,,,,,,29.0,0.0,,,,,5.0,3.0,,,,,57.0,12.0,,,1.2,0.195,99.0,75.0,81.0,94.0,90.0,89.0,96.0,99.0,98.0,91.0,89.0,89.0,92.0,92.0,94.0,94.0,98.0,92.0,89.0,96.0,89.0,97.0,95.0,96.0,95.0
SMR,4.55,,,,1.0,49.0,31.0,0.0,158.0,0.5,,,,,,,,,,15.0,30.0,9.0,1.0,115.0,50.0,69.0,1.0,166.0,102.0,0.3,,,,,,,,,68.0,41.0,,,,,4.0,59.0,,,,,0.0,0.1,0.0,0.0,0.5,0.29500000000000004,97.0,96.0,96.0,96.0,95.0,95.0,92.0,91.0,91.0,89.0,89.0,92.0,88.0,83.0,83.0,84.0,86.0,82.0,78.0,87.0,89.0,90.0,91.0,91.0,88.0
SOM,8.88,,,,1141.0,1702.0,0.0,12218.0,909909.0,5.2,,,,,,,,,,111.0,7.0,0.0,439.0,56.0,56.0,0.0,2462.0,117953.0,117953.0,0.7,,,,,,,,,0.0,0.0,,,,,1826.0,0.0,,,,,829.5,1132.3,,,12.0,9.725000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,46.0,48.0,49.0,51.0,53.0,57.0,55.0,62.0,71.0,69.0,70.0
SRB,11.11,,,,481.0,27351.0,23.0,127.0,118750.0,1.6,,,,,,,,,,1541.0,6.0,1.0,260.0,21148.0,10974.0,33.0,921.0,63210.0,53036.0,0.6,,,,,,,,,10710.0,17.0,,,,,989.0,51.0,,,,,43.0,61.7,,,0.55,0.725,0.0,0.0,0.0,0.0,89.0,65.0,93.0,99.0,93.0,93.0,89.0,94.0,97.0,91.0,92.0,94.0,91.0,93.0,91.0,94.0,87.0,89.0,92.0,93.0,93.0
SSD,20.23,,,,1963.0,54742.0,7.0,9232.0,744050.0,9.9,2.4,4.4,,3.6,5.0,,,,,3780.0,7.0,1.0,268.0,12541.0,8750.0,17.0,1527.0,75881.0,72090.0,0.7,,,,,,,,,3990.0,5.0,,,,,1132.0,32.0,,,,,1573.5,1123.55,,,21.65,15.559999999999999,,,,,,,,,,,,0.0,0.0,0.0,0.0,46.0,45.0,52.0,59.0,61.0,67.0,69.0,73.0,73.0,73.0
STP,48.93,,,,104.0,496.0,2.0,74.0,21073.0,9.3,,,,,,,,,,78.0,16.0,0.0,7.0,149.0,126.0,9.0,38.0,1718.0,1695.0,0.7,,,,,,,,,23.0,1.0,,,,,3.0,16.0,,,,,3.0,6.6000000000000005,,,2.45,3.5700000000000003,0.0,0.0,0.0,43.0,70.0,96.0,75.0,87.0,99.0,98.0,98.0,96.0,96.0,97.0,95.0,96.0,96.0,95.0,95.0,95.0,96.0,97.0,92.0,87.0,87.0
SUR,9.89,,,,37.0,1048.0,9.0,19.0,11402.0,1.8,,,,,,,,,,26.0,2.0,0.0,24.0,1502.0,1370.0,38.0,56.0,3930.0,3798.0,0.6,,,,,,,,,139.0,4.0,,,,,10.0,9.0,,,,,4.5,3.65,,,1.05,0.66,0.0,0.0,0.0,0.0,0.0,83.0,84.0,84.0,84.0,87.0,84.0,80.0,76.0,76.0,71.0,73.0,77.0,67.0,81.0,77.0,51.0,72.0,77.0,72.0,69.0
SVK,,,,,,1600.0,,,,,,,,,,,,,,,0.0,,,,4884.0,,,,27407.0,0.5,,,,,,,,,837.0,,,,,,259.0,,,,,,50.5,48.650000000000006,25.0,383.0,1.2,1.04,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0
SVN,,,,,,2782.0,,,,,,,,,,,,,,999.0,36.0,,,,4191.0,,,,1078.0,0.1,,,,,,,,,3062.0,,,,,,117.0,,,,,,11.5,14.15,,,1.05,1.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,89.0,89.0,90.0
SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12759.0,0.1,,,,,,,,,,,,,,,,,,,,,32.0,29.75,,,0.44999999999999996,0.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,30.0,35.0,42.0,53.0,67.0,76.0,92.0,97.0,97.0,98.0,94.0,94.0,95.0
SWZ,52.88,,,,602.0,16376.0,16.0,403.0,104289.0,8.7,,43.6,38.4,,1.1,0.7,,48.4,47.9,970.0,6.0,1.0,43.0,1170.0,1137.0,24.0,66.0,4872.0,4838.0,0.4,,,,,,,,,35.0,1.0,,,,,5.0,3.0,,,,,13.5,20.150000000000002,,,1.5,2.1,83.0,86.0,88.0,90.0,93.0,95.0,93.0,92.0,90.0,88.0,89.0,91.0,95.0,98.0,98.0,90.0,90.0,90.0,90.0,90.0,83.0,77.0,97.0,85.0,84.0
SYC,19.92,100.0,0.0,0.0,21.0,651.0,12.0,36.0,5588.0,5.2,100.0,100.0,100.0,0.1,0.0,0.0,100.0,0.0,0.0,21.0,3.0,0.0,3.0,105.0,80.0,17.0,14.0,616.0,591.0,0.6,89.1,66.3,64.3,68.2,80.0,62.5,41.7,0.0,27.0,4.0,20.0,37.5,20.0,57.1,3.0,25.0,23.1,37.5,20.0,57.1,0.0,0.2,,,0.30000000000000004,0.275,97.0,95.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,98.0,98.0,99.0,97.0,96.0,97.0,99.0,99.0,97.0,94.0,97.0,97.0,94.0
SYR,17.87,,,,2896.0,128308.0,11.0,19724.0,1121632.0,1.7,,,,,,,,,,21690.0,17.0,2.0,1119.0,162152.0,133484.0,51.0,7313.0,317435.0,288767.0,1.3,,,,,,,,,30177.0,10.0,,,,,3276.0,19.0,,,,,107.5,130.2,,,0.75,1.0499999999999998,79.0,80.0,80.0,81.0,82.0,83.0,83.0,83.0,83.0,84.0,84.0,66.0,52.0,80.0,56.0,50.0,59.0,61.0,60.0,67.0,62.0,59.0,59.0,66.0,73.0
TCD,52.74,,,,8903.0,12854.0,1.0,25053.0,1687587.0,9.5,0.9,,3.1,4.7,,3.8,,,,55.0,0.0,0.0,830.0,20858.0,20319.0,15.0,2755.0,140811.0,140273.0,0.8,,,,2.3,,,,1.1,567.0,0.0,,,,,91.0,3.0,,,,,382.5,1746.65,,,4.0,15.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,24.0,39.0,33.0,40.0,39.0,36.0,42.0,41.0,41.0,47.0,53.0,55.0,62.0,66.0,67.0,68.0
TGO,41.23,,,,3468.0,11550.0,1.0,5454.0,833679.0,9.4,,,,,,,,,,153.0,1.0,0.0,280.0,5773.0,4922.0,9.0,1462.0,67050.0,66199.0,0.7,,,,,,,,,895.0,1.0,,,,,99.0,16.0,,,,,328.0,561.8000000000001,,,5.9,8.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,78.0,83.0,85.0,84.0,84.0,84.0,82.0,82.0,84.0,82.0,86.0,85.0,87.0,86.0,90.0,90.0
THA,21.02,,63.95,77.0,12958.0,214212.0,12.0,1104.0,1837909.0,2.6,,,,,,,,39.1,28.1,11952.0,6.0,1.0,2123.0,111457.0,91621.0,28.0,6630.0,394350.0,374514.0,0.5,1.2,2.3,,7.6,,,,,20880.0,5.0,4.8,,,,2095.0,19.0,,,,,463.5,1001.25,,,0.7999999999999999,1.56,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,97.0,97.0,97.0,92.0,92.0,92.0,92.0
TJK,25.09,,,,1706.0,33532.0,6.0,541.0,532731.0,5.4,,,,,,,,,,5000.0,15.0,1.0,848.0,19639.0,11628.0,7.0,7103.0,269978.0,261968.0,2.6,63.2,89.4,61.8,72.4,61.6,84.4,69.0,75.4,8432.0,3.0,0.0,44.9,11.6,0.0,1048.0,43.0,0.0,47.1,25.0,0.0,218.5,218.5,,,2.9,2.3699999999999997,0.0,0.0,39.0,58.0,81.0,81.0,88.0,84.0,86.0,93.0,93.0,96.0,94.0,96.0,97.0,96.0,97.0,97.0,96.0,97.0,97.0,97.0,97.0,96.0,97.0
TKM,26.02,,,,1506.0,13962.0,3.0,547.0,529437.0,8.2,,,,,,,,,,6192.0,44.0,1.0,375.0,22217.0,9145.0,13.0,4579.0,177063.0,163992.0,2.5,,,,,,,,,13759.0,8.0,,,,,1648.0,62.0,,,,,50.5,65.25,,,1.05,1.115,0.0,0.0,96.0,97.0,96.0,99.0,98.0,98.0,96.0,97.0,96.0,97.0,98.0,98.0,97.0,99.0,98.0,99.0,99.0,99.0,99.0,97.0,98.0,98.0,99.0
TLS,21.06,,,,251.0,14241.0,12.0,657.0,122190.0,9.1,,,,,,,,,,71.0,0.0,0.0,37.0,1313.0,1002.0,17.0,173.0,7777.0,7466.0,0.6,,,,,,,,,328.0,4.0,,,,,39.0,25.0,,,,,13.0,33.0,,,1.45,2.815,,,0.0,0.0,0.0,0.0,0.0,0.0,79.0,72.0,72.0,67.0,83.0,82.0,77.0,76.0,79.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0
TON,55.86,,,,54.0,2686.0,,19.0,9582.0,9.0,,,,,,,,,,1.0,0.0,0.0,4.0,106.0,106.0,11.0,28.0,982.0,982.0,1.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,5.0,4.85,,,5.9,4.970000000000001,97.0,96.0,95.0,93.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,95.0,99.0,98.0,96.0,96.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
TTO,13.76,,,,128.0,1675.0,6.0,25.0,28920.0,1.9,,,,,,,,,,234.0,14.0,1.0,60.0,3726.0,3393.0,38.0,139.0,9688.0,9354.0,0.6,,,,,,,,,351.0,4.0,,,,,24.0,9.0,,,,,8.5,7.3999999999999995,,,0.8500000000000001,0.615,0.0,0.0,5.0,76.0,94.0,95.0,89.0,89.0,90.0,90.0,90.0,90.0,92.0,92.0,92.0,90.0,97.0,89.0,99.0,93.0,96.0,94.0,93.0,96.0,92.0
TUN,15.11,,,,1623.0,50432.0,11.0,325.0,440861.0,3.6,,,,,,,,,,9011.0,18.0,2.0,209.0,16458.0,11974.0,34.0,940.0,48541.0,44056.0,0.4,63.4,,,,59.1,,,,4720.0,10.0,,,,,500.0,29.0,,,,,279.5,165.4,,,2.85,1.455,94.0,94.0,93.0,92.0,96.0,97.0,99.0,98.0,99.0,99.0,98.0,98.0,97.0,98.0,98.0,98.0,98.0,98.0,97.0,98.0,97.0,97.0,97.0,97.0,97.0
TUR,9.93,,,,7043.0,282434.0,14.0,1329.0,1983857.0,2.3,,,,,,,,,,80021.0,28.0,4.0,1392.0,96549.0,57211.0,38.0,1827.0,256580.0,217242.0,0.3,,,,,,,,,41409.0,16.0,,,,,4392.0,43.0,,,,,1045.0,1421.0,,,1.45,1.7349999999999999,71.0,77.0,72.0,68.0,77.0,85.0,82.0,96.0,92.0,94.0,96.0,96.0,97.0,97.0,96.0,97.0,98.0,96.0,98.0,99.0,98.0,96.0,99.0,99.0,99.0
TUV,50.66,,,,5.0,51.0,,3.0,887.0,7.8,,,,,,,,,,1.0,2.0,0.0,0.0,11.0,11.0,10.0,3.0,113.0,113.0,1.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.3,,,3.1,2.795,81.0,99.0,99.0,95.0,98.0,79.0,97.0,97.0,99.0,91.0,89.0,96.0,97.0,90.0,89.0,96.0,94.0,96.0,89.0,92.0,93.0,94.0,91.0,94.0,94.0
TZA,14.41,,,0.0,8981.0,84254.0,5.0,10410.0,1855605.0,2.8,,,27.4,,,0.9,,,16.7,550.0,1.0,0.0,347.0,6971.0,6943.0,7.0,1312.0,99604.0,99576.0,0.2,,,,,,,,,29.0,0.0,,,,,3.0,0.0,,,,,1157.0,1317.35,,,2.85,2.62,0.0,0.0,89.0,95.0,95.0,90.0,90.0,83.0,86.0,85.0,91.0,90.0,92.0,91.0,97.0,96.0,92.0,90.0,89.0,91.0,91.0,86.0,87.0,83.0,83.0
UGA,5.08,,,,1683.0,396370.0,35.0,5549.0,1123667.0,2.4,18.9,,56.6,2.0,,1.5,51.0,,40.2,5412.0,1.0,0.0,723.0,30614.0,30333.0,9.0,5678.0,356324.0,356043.0,0.7,,,,,,,,,296.0,0.0,,,,,54.0,1.0,,,,,1343.0,824.25,,,4.75,2.2,0.0,0.0,29.0,44.0,62.0,64.0,64.0,73.0,71.0,79.0,80.0,82.0,83.0,84.0,85.0,89.0,93.0,94.0,93.0,93.0,89.0,91.0,89.0,91.0,91.0
UKR,20.42,,0.6,,1650.0,60781.0,12.0,990.0,505658.0,1.3,52.52,61.2,63.0,0.59,0.4,0.5,,100.0,,1830.0,3.0,0.0,6732.0,148725.0,96095.0,11.0,18031.0,1303336.0,1250706.0,3.4,,,,,,,,,55400.0,4.0,15.1,15.5,17.5,74.7,12780.0,37.0,,,,,262.0,250.15,1325.0,2866.0,0.8,0.69,4.0,7.0,48.0,77.0,98.0,97.0,96.0,92.0,84.0,66.0,48.0,21.0,46.0,46.0,22.0,22.0,26.0,52.0,67.0,77.0,81.0,77.0,62.0,79.0,88.0
URY,5.01,,,,18.0,1850.0,34.0,8.0,5415.0,5.0,,,100.0,,,0.0,,,,141.0,8.0,3.0,152.0,2534.0,1851.0,14.0,57.0,17703.0,17020.0,0.5,25.0,,,,0.0,,,,719.0,4.0,100.0,,,,53.0,28.0,0.0,,,,18.5,14.299999999999999,,,0.7,0.48000000000000004,92.0,94.0,95.0,91.0,94.0,96.0,95.0,94.0,94.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,93.0,91.0,94.0,92.0,91.0,94.0,95.0,94.0
USA,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.0,355.90000000000003,,,0.1,0.11,90.0,89.0,88.0,92.0,92.0,93.0,93.0,93.0,94.0,92.0,92.0,91.0,90.0,91.0,92.0,92.0,93.0,91.0,91.0,91.0,91.0,92.0,93.0,93.0,93.0
UZB,8.88,,,,1611.0,151472.0,21.0,801.0,713947.0,2.1,,,,,,,,,,15002.0,10.0,2.0,1492.0,109688.0,17714.0,9.0,35598.0,1157817.0,1065843.0,3.0,35.2,,,,,,,,96814.0,8.0,,,,,10000.0,88.0,,,,,744.5,800.9000000000001,,,2.75,2.465,0.0,0.0,62.0,99.0,99.0,99.0,98.0,99.0,91.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,96.0,95.0,98.0,99.0,99.0,88.0
VCT,9.75,,,,6.0,107.0,7.0,5.0,1632.0,1.6,,,,,,,,,,4.0,4.0,0.0,4.0,254.0,230.0,39.0,9.0,655.0,632.0,0.6,,,,,,,,,25.0,4.0,,,,,2.0,10.0,,,,,0.5,0.8,,,0.8500000000000001,0.7999999999999999,0.0,0.0,0.0,31.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,96.0,97.0,98.0,99.0,99.0,99.0,97.0,98.0,98.0,99.0,99.0,94.0,99.0
VEN,7.84,,,,1053.0,30019.0,8.0,1187.0,358847.0,1.3,,,,,,,,,,2994.0,10.0,1.0,1159.0,35392.0,32486.0,22.0,3150.0,162399.0,159493.0,0.6,,,,,,,,,3059.0,2.0,,,,,270.0,9.0,,,,,448.0,258.9,,,1.7,0.98,5.0,53.0,60.0,72.0,82.0,88.0,71.0,62.0,53.0,84.0,78.0,78.0,81.0,82.0,78.0,87.0,84.0,66.0,60.0,64.0,54.0,56.0,43.0,54.0,62.0
VNM,30.72,,,,26725.0,2716919.0,42.0,12605.0,6520442.0,7.2,,,,,,,,,,91246.0,3.0,1.0,3894.0,123576.0,51061.0,13.0,17944.0,963512.0,890997.0,0.9,,,,,,,,,76332.0,8.0,,,,19.9,8217.0,62.0,,,,,2960.0,4865.05,,,3.7,5.29,0.0,0.0,0.0,78.0,94.0,94.0,93.0,67.0,87.0,94.0,88.0,95.0,97.0,59.0,95.0,97.0,96.0,94.0,75.0,89.0,94.0,83.0,91.0,65.0,97.0
VUT,42.49,,,,119.0,5112.0,21.0,120.0,23998.0,7.3,,,,,,,,,,2.0,0.0,0.0,14.0,326.0,326.0,11.0,85.0,3048.0,3048.0,1.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,19.0,17.849999999999998,,,10.9,6.79,70.0,68.0,66.0,64.0,63.0,61.0,59.0,63.0,67.0,70.0,75.0,79.0,82.0,84.0,86.0,80.0,81.0,85.0,85.0,90.0,78.0,62.0,68.0,72.0,71.0
WB_HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,60.0,65.0,68.0,70.0,71.0,72.0,73.0,74.0,74.0,75.0,77.0,77.0,77.0,79.0,79.0,80.0,80.0,80.0,92.0,91.0,92.0,92.0,91.0,91.0
WB_LI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,20.0,27.0,32.0,38.0,46.0,64.0,66.0,72.0,71.0,72.0,71.0,74.0,74.0,74.0,75.0,76.0,76.0,77.0,74.0,71.0,72.0,70.0,70.0
WB_LMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,14.0,24.0,29.0,36.0,41.0,44.0,56.0,61.0,60.0,62.0,73.0,71.0,77.0,81.0,83.0,83.0,85.0,86.0,82.0,81.0,85.0,85.0,86.0
WB_UMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,67.0,71.0,76.0,81.0,84.0,88.0,90.0,92.0,94.0,93.0,93.0,94.0,93.0,93.0,92.0,92.0,91.0,91.0,90.0,88.0,86.0,91.0,90.0,88.0
WPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53874.5,,,0.9,2.885,49.0,56.0,59.0,69.0,72.0,76.0,85.0,85.0,89.0,92.0,92.0,93.0,93.0,90.0,92.0,92.0,93.0,93.0,91.0,95.0,95.0,92.0,94.0,90.0,91.0
WSM,32.41,,,,60.0,140.0,,41.0,9646.0,4.3,,,,,,,,,,1.0,1.0,0.0,9.0,222.0,222.0,11.0,58.0,2056.0,2056.0,1.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,3.0,2.8499999999999996,,,2.2,1.575,93.0,93.0,92.0,90.0,62.0,51.0,46.0,58.0,26.0,58.0,72.0,75.0,82.0,85.0,81.0,80.0,74.0,67.0,44.0,68.0,89.0,85.0,76.0,83.0,85.0
YEM,11.0,,,,2843.0,4119.0,0.0,5474.0,948579.0,2.8,,,,,,,,,,600.0,15.0,0.0,1361.0,126593.0,97837.0,44.0,4143.0,285945.0,257189.0,0.8,,,,,,,,,30269.0,11.0,,,,,2997.0,24.0,,,,,706.0,814.0,,,3.7,3.4899999999999998,14.0,19.0,31.0,38.0,43.0,80.0,78.0,79.0,78.0,76.0,76.0,69.0,67.0,71.0,70.0,63.0,63.0,59.0,54.0,60.0,57.0,56.0,58.0,46.0,42.0
ZAF,44.41,,,,25564.0,634294.0,23.0,13339.0,2741289.0,4.6,,,20.1,,,0.7,,,,3911.0,1.0,0.0,2138.0,58779.0,57354.0,24.0,3159.0,245403.0,243978.0,0.4,100.0,,,,100.0,,,,1500.0,1.0,94.4,,,,100.0,3.0,94.4,,,,1008.5,2776.25,,,2.6,6.08,73.0,72.0,72.0,71.0,76.0,79.0,83.0,83.0,76.0,74.0,71.0,76.0,70.0,73.0,85.0,85.0,85.0,84.0,82.0,85.0,84.0,86.0,85.0,79.0,74.0
ZMB,10.79,,,,1684.0,26710.0,7.0,2169.0,363042.0,1.8,8.1,8.2,12.0,5.3,3.1,3.0,,,89.0,2987.0,11.0,1.0,491.0,22750.0,16050.0,16.0,2801.0,140426.0,133727.0,0.7,,,,,,,,,7052.0,5.0,,,,,2077.0,31.0,,,,,354.5,490.8,,,2.9499999999999997,3.225,0.0,0.0,0.0,0.0,0.0,82.0,81.0,80.0,87.0,94.0,83.0,81.0,78.0,79.0,86.0,90.0,95.0,94.0,90.0,88.0,84.0,91.0,92.0,90.0,91.0
ZWE,52.64,,,,7876.0,7343.0,1.0,5389.0,1260932.0,7.7,,,,,,,,,,2164.0,29.0,0.0,582.0,15879.0,15439.0,24.0,897.0,67032.0,66593.0,0.4,,,,,,,,,462.0,1.0,,,,,68.0,3.0,,,,,840.0,760.0,,,7.25,6.29,79.0,76.0,73.0,70.0,68.0,65.0,68.0,72.0,75.0,73.0,90.0,94.0,97.0,95.0,91.0,87.0,90.0,89.0,89.0,90.0,86.0,88.0,90.0,90.0,91.0
