IndicatorCode,FOODSAFETY_IHR_PERCENT,FOODSAFETY_IHR_PERCENT,FOODSAFETY_IHR_PERCENT,FOODSAFETY_IHR_PERCENT,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,IHRSPAR2_C01,IHRSPAR2_C01,IHRSPAR2_C01,IHRSPAR2_C02,IHRSPAR2_C02,IHRSPAR2_C02,SDGIHR,SDGIHR,SDGIHR,SDGIHR,SDGIHR,SDGIHR,SDGIHR,SDGIHR,SDGIHR2018,SDGIHR2018,SDGIHR2018,SDGIHR2021,SDGIHR2021,SDGIHR2021,SDGIHR2021,UHC_IHR,UHC_IHR,UHC_IHR,UHC_IHR,UHC_IHR,UHC_IHR,UHC_IHR
CRI,80.0,80.0,80.0,80.0,,,,,,,,,20.0,20.0,20.0,80.0,60.0,60.0,77.0,69.0,82.0,89.0,89.0,83.0,86.0,87.15872,70.0,77.0,77.0,67.0,65.0,65.3333,66.0,77.0,69.0,82.0,89.0,89.0,85.0,86.0
CUB,100.0,100.0,100.0,100.0,,,,,,,,,70.0,100.0,100.0,100.0,100.0,93.0,,92.0,99.0,99.0,96.0,99.0,99.0,99.3007,100.0,78.0,,95.0,99.0,95.6,90.0,,92.0,99.0,99.0,96.0,100.0,99.0
CYP,100.0,100.0,100.0,80.0,,,,,,,,,20.0,60.0,60.0,80.0,80.0,53.0,44.0,51.0,,67.0,62.0,,93.0,95.64103,74.0,74.0,67.0,64.0,68.0,65.9333,61.0,44.0,51.0,,67.0,62.0,,93.0
CZE,80.0,80.0,80.0,80.0,,,,,,,,,40.0,50.0,50.0,67.0,67.0,67.0,86.0,85.0,92.0,88.0,88.0,88.0,,93.82146,67.0,68.0,,76.0,77.0,77.3333,77.0,86.0,85.0,92.0,88.0,88.0,91.0,
DEU,80.0,80.0,80.0,80.0,,,,,,,,,90.0,90.0,90.0,100.0,100.0,100.0,81.0,86.0,92.0,,99.0,,,96.53846,91.0,88.0,89.0,87.0,87.0,85.1333,85.0,81.0,86.0,92.0,,99.0,,
DJI,60.0,60.0,40.0,40.0,,,2.0,,,,,,30.0,30.0,50.0,40.0,40.0,20.0,,,39.0,43.0,46.0,,,33.175,37.0,32.0,31.0,41.0,40.0,33.7333,30.0,,,39.0,43.0,46.0,,
DMA,80.0,80.0,80.0,80.0,,,,,,,,,40.0,40.0,40.0,73.0,73.0,73.0,43.0,57.0,57.0,69.0,69.0,64.0,62.0,61.65546,70.0,71.0,,63.0,61.0,60.8667,71.0,43.0,57.0,57.0,69.0,69.0,66.0,63.0
DNK,100.0,100.0,100.0,100.0,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,73.0,75.0,,86.0,91.0,91.0,89.0,89.58557,96.0,95.0,94.0,95.0,97.0,96.6667,97.0,73.0,75.0,,86.0,91.0,91.0,89.0
DOM,80.0,80.0,60.0,60.0,,,,,,,,,50.0,50.0,40.0,73.0,73.0,47.0,52.0,,54.0,72.0,73.0,72.0,71.0,54.89981,48.0,55.0,60.0,65.0,62.0,51.5333,60.0,52.0,,54.0,72.0,73.0,71.0,71.0
DZA,60.0,40.0,40.0,80.0,,,,,,2.5,,,70.0,70.0,70.0,67.0,67.0,67.0,51.0,11.0,19.0,40.0,71.0,72.0,73.0,75.28672,80.0,80.0,68.0,77.0,72.0,72.3333,80.0,51.0,11.0,19.0,40.0,71.0,73.0,73.0
ECU,80.0,80.0,60.0,20.0,,,,,,,,,30.0,80.0,60.0,73.0,53.0,47.0,41.0,52.0,40.0,44.0,79.0,89.0,81.0,80.9791,73.0,77.0,70.0,66.0,60.0,60.8667,54.0,41.0,52.0,40.0,44.0,79.0,90.0,81.0
EGY,80.0,80.0,80.0,80.0,,,0.0,,,,,,90.0,90.0,90.0,87.0,87.0,87.0,88.0,83.0,82.0,88.0,93.0,,94.0,96.39546,82.0,83.0,86.0,86.0,87.0,90.7333,90.0,88.0,83.0,82.0,88.0,93.0,,94.0
EMR,,,,63.0,,,,,,,,,54.285713,60.0,60.952381,66.619049,68.761902,63.476189,,,,,,,,71.6,66.0,66.0,67.0,64.892067,67.488892,65.653969,66.0,,,,,,,
ERI,20.0,40.0,40.0,40.0,2.0,,,,,,,,30.0,40.0,40.0,27.0,67.0,67.0,44.0,45.0,,59.0,70.0,71.0,49.0,49.28016,35.0,49.0,57.0,41.0,58.0,59.2,60.0,44.0,45.0,,59.0,70.0,73.0,49.0
ESP,80.0,80.0,80.0,80.0,,,,,,,,,20.0,60.0,50.0,87.0,93.0,93.0,42.0,66.0,87.0,52.0,93.0,90.0,95.0,94.84784,84.0,85.0,88.0,80.0,82.0,80.9333,78.0,42.0,66.0,87.0,52.0,93.0,92.0,95.0
EST,60.0,80.0,80.0,80.0,,,,,,,4.5,,60.0,60.0,70.0,73.0,73.0,73.0,65.0,66.0,64.0,77.0,77.0,73.0,71.0,70.01811,74.0,74.0,72.0,74.0,75.0,72.2,73.0,65.0,66.0,64.0,77.0,77.0,72.0,71.0
ETH,40.0,60.0,40.0,40.0,2.0,,,,,,3.5,,80.0,80.0,80.0,73.0,73.0,80.0,40.0,70.0,77.0,,77.0,78.0,79.0,79.11332,58.0,63.0,67.0,72.0,74.0,69.8,69.0,40.0,70.0,77.0,,77.0,78.0,79.0
EUR,,,,78.0,,,,,,,,,61.176472,63.396225,62.037037,74.901962,75.43396,73.944443,,,,,,,,78.7,73.0,75.0,74.0,73.599998,75.036476,73.207405,74.0,,,,,,,
FIN,100.0,100.0,100.0,100.0,,5.0,,,,,,,90.0,90.0,90.0,80.0,80.0,80.0,83.0,86.0,96.0,88.0,90.0,96.0,,,94.0,94.0,82.0,85.0,84.0,83.6667,85.0,83.0,86.0,96.0,88.0,88.0,96.0,
FJI,80.0,60.0,80.0,80.0,,,,,,,,,30.0,30.0,30.0,27.0,27.0,27.0,31.0,,43.0,95.0,98.0,,,,63.0,,,54.0,48.0,54.8667,55.0,31.0,,43.0,95.0,98.0,,
FRA,80.0,80.0,80.0,80.0,,,,,,,,,70.0,70.0,70.0,100.0,100.0,100.0,63.0,78.0,81.0,85.0,86.0,89.0,89.0,89.40559,82.0,82.0,83.0,86.0,86.0,86.1333,88.0,63.0,78.0,81.0,85.0,86.0,94.0,89.0
FSM,40.0,40.0,40.0,40.0,,,,,,,,,60.0,60.0,60.0,20.0,20.0,20.0,32.0,36.0,73.0,35.0,62.0,64.0,86.0,85.77775,,32.0,49.0,43.0,53.0,52.6,42.0,32.0,36.0,73.0,35.0,62.0,64.0,86.0
GAB,20.0,20.0,20.0,20.0,,,,1.0,,,,,20.0,20.0,20.0,27.0,33.0,47.0,,48.0,,,,,52.0,51.68062,40.0,27.0,40.0,33.0,42.0,47.2,49.0,,48.0,,,,,52.0
GBR,100.0,100.0,100.0,100.0,,,,,,,,,80.0,80.0,80.0,73.0,87.0,87.0,,,,,,,88.0,89.37915,93.0,93.0,95.0,93.0,94.0,94.9333,95.0,,,,,,,89.0
GEO,40.0,60.0,60.0,60.0,,,,2.0,,,,2.5,40.0,50.0,50.0,73.0,80.0,80.0,93.0,91.0,89.0,91.0,90.0,81.0,82.0,73.60889,66.0,58.0,59.0,63.0,71.0,72.2,60.0,93.0,91.0,89.0,91.0,90.0,81.0,82.0
GHA,80.0,80.0,80.0,80.0,,2.0,,,,,,,20.0,30.0,30.0,33.0,40.0,67.0,57.0,39.0,51.0,66.0,69.0,,74.0,73.70528,47.0,49.0,49.0,46.0,52.0,55.8,52.0,57.0,39.0,51.0,66.0,69.0,,74.0
GIN,40.0,40.0,40.0,40.0,,1.0,,,,,1.5,,30.0,30.0,40.0,47.0,53.0,53.0,,13.0,,,52.0,51.0,,60.0,55.0,44.0,48.0,47.0,51.0,49.6667,55.0,,13.0,,,52.0,57.0,
GLOBAL,,,,62.0,,,,,,,,,52.0,56.0,54.0,66.0,67.0,65.0,58.0,62.0,67.0,70.0,73.0,76.0,76.0,71.0,61.0,63.0,65.0,64.0,66.0,64.0,64.0,,,,,,,
GMB,20.0,40.0,80.0,20.0,,2.0,,,,,,0.0,40.0,40.0,30.0,40.0,47.0,53.0,50.0,53.0,,62.0,33.0,,,27.16959,35.0,38.0,35.0,44.0,48.0,53.9333,27.0,50.0,53.0,,62.0,33.0,,
GNB,20.0,40.0,40.0,40.0,,,,1.0,,,,,30.0,20.0,30.0,60.0,33.0,60.0,,,,,36.0,48.0,49.0,53.4374,40.0,25.0,35.0,46.0,40.0,43.0667,50.0,,,,,36.0,50.0,49.0
GNQ,20.0,20.0,40.0,40.0,,,,,,,,,20.0,40.0,20.0,40.0,47.0,47.0,,1.0,,27.0,,,,26.82054,22.0,22.0,26.0,34.0,43.0,44.3333,49.0,,1.0,,27.0,,,
GRC,100.0,100.0,60.0,60.0,,,,,,,,,40.0,40.0,50.0,53.0,53.0,47.0,76.0,,,,,,,,,57.0,60.0,71.0,68.0,60.0667,60.0,76.0,,,,,,
GRD,,40.0,60.0,60.0,,,0.0,,,,,,,30.0,40.0,,47.0,73.0,,57.0,48.0,58.0,,66.0,66.0,,,,,,35.0,52.1333,54.0,,57.0,48.0,58.0,,66.0,66.0
GTM,40.0,20.0,20.0,20.0,,,,,,,,,50.0,50.0,30.0,33.0,27.0,40.0,,62.0,66.0,88.0,59.0,84.0,55.0,,62.0,53.0,58.0,45.0,42.26666667,32.4667,37.0,,62.0,66.0,88.0,59.0,87.0,55.0
GUY,80.0,40.0,40.0,40.0,,,,,,,,,100.0,40.0,30.0,87.0,47.0,20.0,33.0,73.0,76.0,77.0,79.0,81.0,,88.61395,,88.0,100.0,93.0,54.0,30.7333,37.0,33.0,73.0,76.0,77.0,79.0,85.0,
HND,80.0,80.0,80.0,80.0,,,,,,,,,40.0,50.0,30.0,73.0,80.0,80.0,46.0,44.0,49.0,52.0,49.0,74.0,83.0,70.06648,34.0,60.0,60.0,58.0,59.0,58.2667,54.0,46.0,44.0,49.0,52.0,49.0,75.0,83.0
HRV,80.0,80.0,80.0,80.0,,,,,,,,,80.0,30.0,30.0,67.0,80.0,80.0,95.0,95.0,,96.0,66.0,72.0,71.0,70.57078,73.0,78.0,78.0,75.0,76.0,76.4,75.0,95.0,95.0,,96.0,66.0,71.0,71.0
HTI,40.0,40.0,40.0,40.0,,,,,,,,,40.0,40.0,20.0,53.0,53.0,53.0,,30.0,,45.0,41.0,48.0,56.0,61.47323,39.0,,40.0,54.0,56.0,54.1333,54.0,,30.0,,45.0,41.0,48.0,56.0
HUN,80.0,80.0,80.0,80.0,,,,,,,,,50.0,50.0,50.0,73.0,73.0,73.0,68.0,87.0,81.0,97.0,82.0,86.0,85.0,81.88941,67.0,68.0,66.0,70.0,70.0,70.8667,71.0,68.0,87.0,81.0,97.0,82.0,91.0,85.0
IDN,40.0,60.0,80.0,100.0,,3.0,,,,,3.5,,40.0,70.0,80.0,60.0,73.0,73.0,83.0,82.0,86.0,93.0,95.0,96.0,99.0,98.92751,63.0,73.0,69.0,64.0,72.0,75.0,80.0,83.0,82.0,86.0,93.0,95.0,96.0,99.0
IND,60.0,60.0,60.0,80.0,,,,,,,,,40.0,60.0,70.0,87.0,87.0,87.0,73.0,68.0,84.0,94.0,,,98.0,95.27778,75.0,78.0,80.0,84.0,85.0,86.0,88.0,73.0,68.0,84.0,94.0,,,98.0
IRL,100.0,80.0,80.0,100.0,,,,,,,,,30.0,30.0,30.0,53.0,47.0,80.0,52.0,51.0,78.0,,,,,,67.0,64.0,64.0,66.0,56.0,70.3333,77.0,52.0,51.0,78.0,,,,
IRN,80.0,80.0,80.0,80.0,,,,,,,,,100.0,100.0,80.0,93.0,93.0,93.0,64.0,66.0,91.0,92.0,84.0,85.0,,76.22517,85.0,,88.0,86.0,86.0,81.2667,76.0,64.0,66.0,91.0,92.0,84.0,85.0,
IRQ,40.0,60.0,40.0,40.0,,,,2.0,,,2.0,,50.0,80.0,50.0,67.0,80.0,60.0,49.0,70.0,72.0,93.0,91.0,,,88.88033,82.0,58.0,74.0,48.0,66.0,46.4,59.0,49.0,70.0,72.0,93.0,91.0,,
ISL,80.0,80.0,100.0,100.0,,,,,,,,,60.0,60.0,60.0,80.0,80.0,80.0,,61.0,79.0,,84.0,,72.0,72.19752,84.0,83.0,,76.0,77.0,73.6,78.0,,61.0,79.0,,84.0,,72.0
ISR,,80.0,80.0,80.0,,,,,,,,,,50.0,50.0,,80.0,80.0,55.0,,,,,71.0,71.0,,91.0,87.0,,,86.0,86.2,86.0,55.0,,,,,71.0,71.0
ITA,100.0,100.0,100.0,100.0,,,,,,,,,20.0,30.0,30.0,67.0,67.0,67.0,75.0,77.0,,,,,90.0,,85.0,86.0,83.0,72.0,70.0,70.7333,69.0,75.0,77.0,,,,,90.0
JAM,80.0,100.0,80.0,60.0,,,,,,,,,100.0,90.0,80.0,100.0,93.0,73.0,32.0,83.0,79.0,61.0,55.0,80.0,83.0,,76.0,84.0,87.0,88.0,87.0,77.6,69.0,32.0,83.0,79.0,61.0,55.0,81.0,83.0
JOR,40.0,40.0,40.0,80.0,3.0,,,,,,,,40.0,40.0,50.0,40.0,67.0,73.0,84.0,88.0,85.0,85.0,97.0,,72.0,72.2867,48.0,43.0,43.0,52.0,60.0,64.0667,73.0,84.0,88.0,85.0,85.0,97.0,,72.0
JPN,100.0,100.0,100.0,100.0,,,5.0,,,,,,70.0,80.0,80.0,100.0,100.0,100.0,94.0,99.0,99.0,99.0,97.0,100.0,100.0,99.57265,,95.0,95.0,98.0,99.0,98.6667,99.0,94.0,99.0,99.0,99.0,97.0,100.0,100.0
KAZ,100.0,60.0,60.0,80.0,,,,,,,,,60.0,60.0,70.0,93.0,73.0,67.0,,83.0,86.0,82.0,85.0,78.0,,,71.0,82.0,81.0,88.0,80.0,66.6667,73.0,,83.0,86.0,82.0,85.0,78.0,
KEN,60.0,40.0,40.0,40.0,,3.0,,,,,,1.0,50.0,20.0,60.0,53.0,33.0,47.0,61.0,73.0,66.0,69.0,,,,60.0,35.0,41.0,44.0,57.0,45.0,53.9333,57.0,61.0,73.0,66.0,69.0,,,
KGZ,40.0,40.0,40.0,40.0,4.0,,,,,,1.5,,30.0,40.0,50.0,27.0,40.0,60.0,,50.0,,,,,,,57.0,47.0,52.0,42.0,48.0,48.4667,49.0,,50.0,,,,,
KHM,60.0,60.0,80.0,80.0,2.0,,,,,,,3.0,70.0,70.0,80.0,73.0,73.0,80.0,46.0,49.0,49.0,42.0,41.0,50.0,55.0,80.65395,46.0,50.0,48.0,57.0,60.0,67.5333,64.0,46.0,49.0,49.0,42.0,41.0,52.0,55.0
KIR,60.0,,40.0,40.0,,,,,,,,,50.0,,40.0,33.0,,33.0,59.0,57.0,65.0,70.0,60.0,,,,51.0,,70.0,64.0,,39.7333,42.0,59.0,57.0,65.0,70.0,60.0,,
KNA,80.0,80.0,80.0,80.0,,,,,,,,,40.0,70.0,60.0,73.0,80.0,80.0,,,57.0,58.0,,60.0,,51.62214,48.0,51.0,51.0,66.0,71.0,69.0,68.0,,,57.0,58.0,,60.0,
KOR,100.0,100.0,100.0,100.0,,,,,,,,,60.0,100.0,100.0,87.0,87.0,93.0,74.0,,100.0,100.0,100.0,,,97.8953,94.0,97.0,98.0,95.0,99.0,99.0667,99.0,74.0,,100.0,100.0,100.0,,
KWT,80.0,80.0,80.0,80.0,,3.0,,,,,,,20.0,70.0,90.0,80.0,93.0,93.0,63.0,73.0,77.0,86.0,85.0,86.0,85.0,84.86283,56.0,76.0,84.0,83.0,92.0,94.0,97.0,63.0,73.0,77.0,86.0,85.0,86.0,85.0
LAO,40.0,40.0,40.0,40.0,,,,,,,,,50.0,60.0,60.0,80.0,80.0,80.0,51.0,50.0,31.0,55.0,60.0,63.0,75.0,,35.0,35.0,43.0,51.0,53.0,55.3333,55.0,51.0,50.0,31.0,55.0,60.0,74.0,75.0
LBN,40.0,40.0,40.0,40.0,2.0,,,,,,,,80.0,80.0,80.0,73.0,73.0,73.0,55.0,51.0,57.0,71.0,76.0,,,79.9983,58.0,73.0,69.0,66.0,72.0,70.0667,70.0,55.0,51.0,57.0,71.0,76.0,,
LBR,40.0,40.0,40.0,40.0,1.0,,,,,,2.0,,40.0,40.0,30.0,73.0,73.0,40.0,38.0,26.0,,,,,,75.60322,46.0,46.0,54.0,54.0,58.0,41.9333,48.0,38.0,26.0,,,,,
LBY,40.0,60.0,60.0,40.0,,,3.0,,,,,,30.0,30.0,30.0,60.0,60.0,60.0,54.0,55.0,44.0,60.0,65.0,64.0,64.0,63.56529,41.0,54.0,59.0,45.0,53.0,53.4667,38.0,54.0,55.0,44.0,60.0,65.0,64.0,64.0
LCA,80.0,80.0,80.0,80.0,,,,,,,,,60.0,60.0,60.0,67.0,67.0,67.0,29.0,38.0,38.0,,44.0,57.0,77.0,,60.0,69.0,69.0,59.0,60.0,67.0,61.0,29.0,38.0,38.0,,44.0,58.0,77.0
LIE,,,,80.0,,,,,,,,,100.0,100.0,90.0,100.0,100.0,80.0,,,,,,,,,,,,,84.0,80.4667,80.0,,,,,,,
LKA,60.0,60.0,60.0,60.0,,3.0,,,,,2.0,,40.0,40.0,40.0,80.0,80.0,80.0,60.0,61.0,73.0,67.0,71.0,70.0,79.0,75.74534,46.0,54.0,62.0,64.0,66.0,70.6667,66.0,60.0,61.0,73.0,67.0,71.0,71.0,79.0
LSO,20.0,40.0,40.0,60.0,,2.0,,,,,,,20.0,20.0,20.0,40.0,27.0,27.0,42.0,47.0,,63.0,,,74.0,62.03581,33.0,25.0,40.0,37.0,40.0,40.0,42.0,42.0,47.0,,63.0,,,74.0
LTU,100.0,100.0,100.0,100.0,,,5.0,,,,,,100.0,100.0,100.0,87.0,87.0,93.0,71.0,77.0,84.0,85.0,82.0,83.0,82.0,76.85833,82.0,83.0,85.0,82.0,85.0,86.2667,87.0,71.0,77.0,84.0,85.0,82.0,83.0,82.0
LUX,60.0,80.0,80.0,80.0,,,,,,,,,20.0,30.0,30.0,27.0,40.0,40.0,44.0,64.0,62.0,87.0,88.0,88.0,88.0,88.41447,76.0,97.0,95.0,60.0,67.0,66.6,67.0,44.0,64.0,62.0,87.0,88.0,88.0,88.0
LVA,80.0,80.0,80.0,80.0,,5.0,,,,,,,50.0,50.0,50.0,80.0,80.0,80.0,65.0,79.0,83.0,,91.0,90.0,91.0,89.86047,75.0,77.0,77.0,69.0,68.0,68.0667,68.0,65.0,79.0,83.0,,91.0,90.0,91.0
MAR,80.0,80.0,80.0,80.0,4.0,,,,,,,,50.0,50.0,50.0,53.0,53.0,53.0,84.0,89.0,92.0,97.0,95.0,,95.0,95.28002,75.0,75.0,75.0,73.0,73.0,73.5333,75.0,84.0,89.0,92.0,97.0,95.0,,95.0
MCO,80.0,80.0,80.0,80.0,,,,,,,,,30.0,30.0,30.0,67.0,67.0,67.0,,59.0,63.0,73.0,79.0,,79.0,81.24149,82.0,81.0,,77.0,77.0,78.0667,79.0,,59.0,63.0,73.0,79.0,,79.0
MDA,40.0,80.0,60.0,60.0,,,,,,,,,70.0,60.0,50.0,80.0,73.0,73.0,66.0,75.0,74.0,,77.0,78.0,81.0,,60.0,60.0,62.0,60.0,62.0,62.1333,62.0,66.0,75.0,74.0,,77.0,80.0,81.0
MDG,40.0,40.0,40.0,60.0,,2.0,,,,,,,20.0,20.0,20.0,53.0,53.0,53.0,,27.0,,29.0,29.0,,,42.63219,26.0,29.0,36.0,46.0,48.0,53.0,59.0,,27.0,,29.0,29.0,,
MDV,20.0,40.0,60.0,40.0,,2.0,,,,,,,40.0,50.0,50.0,73.0,80.0,80.0,64.0,49.0,58.0,68.0,66.0,59.0,61.0,62.53817,43.0,51.0,47.0,50.0,56.0,64.6667,58.0,64.0,49.0,58.0,68.0,66.0,61.0,61.0
MEX,80.0,80.0,80.0,80.0,,,,,,,,,60.0,40.0,60.0,87.0,87.0,87.0,43.0,66.0,76.0,89.0,95.0,96.0,97.0,94.48285,86.0,83.0,83.0,84.0,75.0,78.6667,79.0,43.0,66.0,76.0,89.0,95.0,97.0,97.0
MHL,,,60.0,60.0,,,,2.0,,,,,,,50.0,,,53.0,73.0,53.0,46.0,51.0,,,,56.95815,49.0,,49.0,,,52.8,55.0,73.0,53.0,46.0,51.0,,,
MKD,80.0,80.0,80.0,80.0,,,,3.0,,,,,50.0,60.0,60.0,73.0,73.0,80.0,,47.0,,72.0,88.0,89.0,90.0,90.14165,63.0,60.0,66.0,66.0,66.0,68.4,62.0,,47.0,,72.0,88.0,86.0,90.0
MLI,60.0,60.0,20.0,40.0,,2.0,,,,,1.0,,20.0,20.0,20.0,40.0,40.0,33.0,,55.0,,,,,,40.15007,49.0,48.0,50.0,44.0,44.0,35.6,46.0,,55.0,,,,,
MLT,80.0,80.0,60.0,60.0,,,,,,,,,70.0,70.0,80.0,73.0,73.0,73.0,,59.0,70.0,76.0,76.0,,79.0,78.5618,60.0,60.0,61.0,73.0,73.0,69.0667,69.0,,59.0,70.0,76.0,76.0,,79.0
